あだ名,あだな
埋める,う
埋めた,う
埋めな,う
埋めず,う
埋めて,う
埋めよ,う
埋めら,う
埋めさ,う
埋めろ,う
埋めま,う
埋める,う
埋めた,う
埋めな,う
埋めず,う
埋めて,う
埋めよ,う
埋めら,う
埋めさ,う
埋めろ,う
埋もれま,うも
埋もれる,うも
埋もれた,うも
埋もれな,うも
埋もれず,うも
埋もれて,うも
埋もれよ,うも
埋もれら,うも
埋もれさ,うも
埋もれろ,うも
埋没,まいぼつ
埋葬,まいそう
埋蔵,まいぞう
埋設,まいせつ
執り,と
執る,と
執った,と
執ら,と
執って,と
執ろ,と
執れ,と
執ら,と
執刀,しっとう
執務,しつむ
執着,しゅうちゃく
執筆,しっぴつ
執行,しっこう
培い,つちか
培う,つちか
培った,つちか
培わ,つちか
培って,つちか
培お,つちか
培え,つちか
培わ,つちか
培養,ばいよう
基づき,もとづ
基づく,もとづ
基づい,もとづ
基づか,もとづ
基づおう,もとづ
基づけ,もとづ
基づえ,もとづ
堂々巡り,どうどうめぐり
堅守,けんしゅ
堅持,けんじ
堕胎,だたい
堕落,だらく
堪えま,こたえ
堪える,こたえ
堪えた,こたえ
堪えな,こたえ
堪えず,こたえ
堪えて,こたえ
堪えよ,こたえ
堪えら,こたえ
堪えさ,こたえ
堪えろ,こたえ
堪能,たんのう
報じま,ほう
報じる,ほう
報じた,ほう
報じな,ほう
報じず,ほう
報じて,ほう
報じよ,ほう
報じら,ほう
報じさ,ほう
報じろ,ほう
報われま,むくわ
報われる,むくわ
報われた,むくわ
報われな,むくわ
報われず,むくわ
報われて,むくわ
報われよ,むくわ
報われら,むくわ
報われさ,むくわ
報われろ,むくわ
報告,ほうこく
報復,ほうふく
報知,ほうち
報道,ほうどう
塗り,ぬ
塗る,ぬ
塗った,ぬ
塗ら,ぬ
塗って,ぬ
塗ろ,ぬ
塗れ,ぬ
塗ら,ぬ
塗布,とふ
塗装,とそう
塞がり,ふさが
塞がる,ふさが
塞がった,ふさが
塞がら,ふさが
塞がって,ふさが
塞がろ,ふさが
塞がれ,ふさが
塞がら,ふさが
塞ぎ,ふさ
塞ぐ,ふさ
塞い,ふさ
塞が,ふさ
塞お,ふさ
塞げ,ふさ
塞え,ふさ
塩化,えんか
塩梅,あんばい
墓参り,はかまいり
増えま,ふ
増える,ふ
増えた,ふ
増えな,ふ
増えず,ふ
増えて,ふ
増えよ,ふ
増えら,ふ
増えさ,ふ
増えろ,ふ
増し,まし
増し,ま
増す,ま
増さ,ま
増そ,ま
増せ,ま
増やし,ふや
増やす,ふや
増やさ,ふや
増やそ,ふや
増やせ,ふや
増便,ぞうびん
増刊,ぞうかん
増刷,ぞうさつ
増加,ぞうか
増収,ぞうしゅう
増員,ぞういん
増大,ぞうだい
増幅,ぞうふく
増強,ぞうきょう
増援,ぞうえん
増殖,ぞうしょく
増水,ぞうすい
増減,ぞうげん
増産,ぞうさん
増発,ぞうはつ
増益,ぞうえき
増税,ぞうぜい
増築,ぞうちく
増補,ぞうほ
増設,ぞうせつ
増資,ぞうし
増進,ぞうしん
増配,ぞうはい
増量,ぞうりょう
増長,ぞうちょう
増額,ぞうがく
墜落,ついらく
墨書,ぼくしょ
壊し,こわ
壊す,こわ
壊さ,こわ
壊そ,こわ
壊せ,こわ
壊れる,こわれる
壊死,えし
壊滅,かいめつ
声援,せいえん
声明,せいめい
売り,うり
売り,う
売る,う
売った,う
売ら,う
売って,う
売ろ,う
売れ,う
売ら,う
売れま,う
売れる,う
売れた,う
売れな,う
売れず,う
売れて,う
売れよ,う
売れら,う
売れさ,う
売れろ,う
売却,ばいきゃく
売春,ばいしゅん
売買,ばいばい
変えま,か
変える,か
変えた,か
変えな,か
変えず,か
変えて,か
変えよ,か
変えら,か
変えさ,か
変えろ,か
変じま,へん
変じる,へん
変じた,へん
変じな,へん
変じず,へん
変じて,へん
変じよ,へん
変じら,へん
変じさ,へん
変じろ,へん
変わり,かわ
変わる,かわ
変わった,かわ
変わら,かわ
変わって,かわ
変わろ,かわ
変われ,かわ
変わら,かわ
変動,へんどう
変化,へんか
変容,へんよう
変形,へんけい
変心,へんしん
変性,へんせい
変更,へんこう
変死,へんし
変移,へんい
変節,へんせつ
変色,へんしょく
変装,へんそう
変調,へんちょう
変貌,へんぼう
変質,へんしつ
変身,へんしん
変転,へんてん
変速,へんそく
変造,へんぞう
変遷,へんせん
変革,へんかく
夏バテ,なつばて
外し,はず
外す,はず
外さ,はず
外そ,はず
外せ,はず
外れま,はず
外れる,はず
外れた,はず
外れな,はず
外れず,はず
外れて,はず
外れよ,はず
外れら,はず
外れさ,はず
外れろ,はず
外出,がいしゅつ
外勤,がいきん
外泊,がいはく
外注,がいちゅう
外用,がいよう
外遊,がいゆう
外食,がいしょく
多発,たはつ
夜回り,よまわり
夜更かし,よふかし
夜逃げ,よにげ
夜遊び,よあそび
夢想,むそう
夢見ま,ゆめ
夢見る,ゆめ
夢見た,ゆめ
夢見な,ゆめ
夢見ず,ゆめ
夢見て,ゆめ
夢見よ,ゆめ
夢見ら,ゆめ
夢見さ,ゆめ
夢見ろ,ゆめ
大きくなり,おおきくな
大きくなる,おおきくな
大きくなった,おおきくな
大きくなら,おおきくな
大きくなって,おおきくな
大きくなろ,おおきくな
大きくなれ,おおきくな
大きくなら,おおきくな
大人になり,おとなにな
大人になる,おとなにな
大人になった,おとなにな
大人になら,おとなにな
大人になって,おとなにな
大人になろ,おとなにな
大人になれ,おとなにな
大人になら,おとなにな
大別,たいべつ
大勝,たいしょう
大同団結,だいどうだんけつ
大喜び,おおよろこび
大回転,だいかいてん
大当たり,おおあたり
大往生,だいおうじょう
大悟,たいご
大挙,たいきょ
大掃除,おおそうじ
大敗,たいはい
大衆化,たいしゅうか
大観,たいかん
大食,たいしょく
大騒ぎ,おおさわぎ
天下り,あまくだり
天引き,てんびき
太り,ふと
太る,ふと
太った,ふと
太ら,ふと
太って,ふと
太ろ,ふと
太れ,ふと
太ら,ふと
太刀打ち,たちうち
夭折,ようせつ
失い,うしな
失う,うしな
失った,うしな
失わ,うしな
失って,うしな
失お,うしな
失え,うしな
失わ,うしな
失効,しっこう
失墜,しっつい
失恋,しつれん
失投,しっとう
失敗,しっぱい
失明,しつめい
失望,しつぼう
失業,しつぎょう
失礼,しつれい
失神,しっしん
失禁,しっきん
失笑,しっしょう
失策,しっさく
失職,しっしょく
失脚,しっきゃく
失言,しつげん
失跡,しっせき
失踪,しっそう
失速,しっそく
奇襲,きしゅう
奉仕,ほうし
奉公,ほうこう
奉納,ほうのう
奏すま,そう
奏する,そう
奏すた,そう
奏すな,そう
奏すず,そう
奏すて,そう
奏すよ,そう
奏すら,そう
奏すさ,そう
奏すろ,そう
奏でま,かな
奏でる,かな
奏でた,かな
奏でな,かな
奏でず,かな
奏でて,かな
奏でよ,かな
奏でら,かな
奏でさ,かな
奏でろ,かな
奏功,そうこう
契約,けいやく
奔走,ほんそう
奢り,おご
奢る,おご
奢った,おご
奢ら,おご
奢って,おご
奢ろ,おご
奢れ,おご
奢ら,おご
奥まり,おくま
奥まる,おくま
奥まった,おくま
奥まら,おくま
奥まって,おくま
奥まろ,おくま
奥まれ,おくま
奥まら,おくま
奨励,しょうれい
奪い,うば
奪う,うば
奪った,うば
奪わ,うば
奪って,うば
奪お,うば
奪え,うば
奪わ,うば
奪取,だっしゅ
奪回,だっかい
奪還,だっかん
奮い,ふる
奮う,ふる
奮った,ふる
奮わ,ふる
奮って,ふる
奮お,ふる
奮え,ふる
奮わ,ふる
奮戦,ふんせん
奮起,ふんき
奮闘,ふんとう
女装,じょそう
好み,この
好む,この
好ん,この
好ま,この
好め,この
好な,この
好守,こうしゅ
好打,こうだ
好投,こうとう
好演,こうえん
好走,こうそう
好転,こうてん
如し,ごとし
妄想,もうそう
妊娠,にんしん
妥協,だきょう
妥当,だとう
妥結,だけつ
妨げま,さまた
妨げる,さまた
妨げた,さまた
妨げな,さまた
妨げず,さまた
妨げて,さまた
妨げよ,さまた
妨げら,さまた
妨げさ,さまた
妨げろ,さまた
妨害,ぼうがい
妬み,ねた
妬む,ねた
妬ん,ねた
妬ま,ねた
妬め,ねた
妬な,ねた
妻帯,さいたい
始まり,はじま
始まる,はじま
始まった,はじま
始まら,はじま
始まって,はじま
始まろ,はじま
始まれ,はじま
始まら,はじま
始めま,はじ
始める,はじ
始めた,はじ
始めな,はじ
始めず,はじ
始めて,はじ
始めよ,はじ
始めら,はじ
始めさ,はじ
始めろ,はじ
始動,しどう
始業,しぎょう
委ねま,ゆだ
委ねる,ゆだ
委ねた,ゆだ
委ねな,ゆだ
委ねず,ゆだ
委ねて,ゆだ
委ねよ,ゆだ
委ねら,ゆだ
委ねさ,ゆだ
委ねろ,ゆだ
委任,いにん
委嘱,いしょく
委託,いたく
姦通,かんつう
威嚇,いかく
威圧,いあつ
威張りくさり,いばりくさ
威張りくさる,いばりくさ
威張りくさった,いばりくさ
威張りくさら,いばりくさ
威張りくさって,いばりくさ
威張りくさろ,いばりくさ
威張りくされ,いばりくさ
威張りくさら,いばりくさ
威張り,いば
威張る,いば
威張った,いば
威張ら,いば
威張って,いば
威張ろ,いば
威張れ,いば
威張ら,いば
婚姻,こんいん
婚約,こんやく
媒介,ばいかい
嫁ぎ,とつ
嫁ぐ,とつ
嫁い,とつ
嫁が,とつ
嫁お,とつ
嫁げ,とつ
嫁え,とつ
嫁入り,よめいり
嫉妬,しっと
嫌い,きら
嫌う,きら
嫌った,きら
嫌わ,きら
嫌って,きら
嫌お,きら
嫌え,きら
嫌わ,きら
嫌がり,いや
嫌がる,いや
嫌がった,いや
嫌がら,いや
嫌がって,いや
嫌がろ,いや
嫌がれ,いや
嫌がら,いや
嫌悪,けんお
子守,こもり
子育て,こそだて
孕み,はら
孕む,はら
孕ん,はら
孕ま,はら
孕め,はら
孕な,はら
存じま,ぞん
存じる,ぞん
存じた,ぞん
存じな,ぞん
存じず,ぞん
存じて,ぞん
存じよ,ぞん
存じら,ぞん
存じさ,ぞん
存じろ,ぞん
存命,ぞんめい
存在,そんざい
存立,そんりつ
存続,そんぞく
学び,まな
学ぶ,まな
学ん,まな
学ば,まな
学ぼ,まな
学べ,まな
学ば,まな
学べ,まな
学習,がくしゅう
宅配,たくはい
守り,まも
守る,まも
守った,まも
守ら,まも
守って,まも
守ろ,まも
守れ,まも
守ら,まも
守備,しゅび
安らぎ,やすら
安らぐ,やすら
安らい,やすら
安らが,やすら
安らお,やすら
安らげ,やすら
安らえ,やすら
安住,あんじゅう
安堵,あんど
安売り,やすうり
安定,あんてい
安心,あんしん
安息,あんそく
安打,あんだ
安楽死,あんらくし
安産,あんざん
安眠,あんみん
安置,あんち
完備,かんび
完勝,かんしょう
完売,かんばい
完封,かんぷう
完工,かんこう
完成,かんせい
完投,かんとう
完敗,かんぱい
完治,かんち
完済,かんさい
完熟,かんじゅく
完結,かんけつ
完訳,かんやく
完走,かんそう
完遂,かんすい
宙返り,ちゅうがえり
定まり,さだま
定まる,さだま
定まった,さだま
定まら,さだま
定まって,さだま
定まろ,さだま
定まれ,さだま
定まら,さだま
定める,さだめる
定住,ていじゅう
定着,ていちゃく
定義,ていぎ
実り,みの
実る,みの
実った,みの
実ら,みの
実って,みの
実ろ,みの
実れ,みの
実ら,みの
実在,じつざい
実施,じっし
実測,じっそく
実演,じつえん
実現,じつげん
実習,じっしゅう
実行,じっこう
実践,じっせん
実験,じっけん
客引き,きゃくひき
客演,きゃくえん
宣伝,せんでん
宣戦,せんせん
宣教,せんきょう
宣言,せんげん
宣誓,せんせい
宥めま,なだ
宥める,なだ
宥めた,なだ
宥めな,なだ
宥めず,なだ
宥めて,なだ
宥めよ,なだ
宥めら,なだ
宥めさ,なだ
宥めろ,なだ
害すま,がい
害する,がい
害すた,がい
害すな,がい
害すず,がい
害すて,がい
害すよ,がい
害すら,がい
害すさ,がい
害すろ,がい
家出,いえで
容認,ようにん
容赦,ようしゃ
宿し,やど
宿す,やど
宿さ,やど
宿そ,やど
宿せ,やど
宿り,やど
宿る,やど
宿った,やど
宿ら,やど
宿って,やど
宿ろ,やど
宿れ,やど
宿ら,やど
宿営,しゅくえい
宿泊,しゅくはく
宿直,しゅくちょく
寄せま,よ
寄せる,よ
寄せた,よ
寄せな,よ
寄せず,よ
寄せて,よ
寄せよ,よ
寄せら,よ
寄せさ,よ
寄せろ,よ
寄り,より
寄り,よ
寄る,よ
寄った,よ
寄ら,よ
寄って,よ
寄ろ,よ
寄れ,よ
寄ら,よ
寄与,きよ
寄付,きふ
寄宿,きしゅく
寄港,きこう
寄生,きせい
寄稿,きこう
寄託,きたく
寄贈,きぞう
寄越し,よこ
寄越す,よこ
寄越さ,よこ
寄越そ,よこ
寄越せ,よこ
密会,みっかい
密入国,みつにゅうこく
密告,みっこく
密売,みつばい
密封,みっぷう
密接,みっせつ
密漁,みつりょう
密猟,みつりょう
密生,みっせい
密着,みっちゃく
密約,みつやく
密航,みっこう
密葬,みっそう
密談,みつだん
密輸,みつゆ
密輸入,みつゆにゅう
密輸出,みつゆしゅつ
密造,みつぞう
密閉,みっぺい
密集,みっしゅう
富み,と
富む,と
富ん,と
富ま,と
富め,と
富な,と
寛ぎ,くつろ
寛ぐ,くつろ
寛い,くつろ
寛が,くつろ
寛お,くつろ
寛げ,くつろ
寛え,くつろ
寛容,かんよう
寝かし,ねか
寝かす,ねか
寝かさ,ねか
寝かそ,ねか
寝かせ,ねか
寝かせま,ねか
寝かせる,ねか
寝かせた,ねか
寝かせな,ねか
寝かせず,ねか
寝かせて,ねか
寝かせよ,ねか
寝かせら,ねか
寝かせさ,ねか
寝かせろ,ねか
寝そべり,ねそべ
寝そべる,ねそべ
寝そべった,ねそべ
寝そべら,ねそべ
寝そべって,ねそべ
寝そべろ,ねそべ
寝そべれ,ねそべ
寝そべら,ねそべ
寝ぼけま,ねぼ
寝ぼける,ねぼ
寝ぼけた,ねぼ
寝ぼけな,ねぼ
寝ぼけず,ねぼ
寝ぼけて,ねぼ
寝ぼけよ,ねぼ
寝ぼけら,ねぼ
寝ぼけさ,ねぼ
寝ぼけろ,ねぼ
寝るま,ね
寝るる,ね
寝るた,ね
寝るな,ね
寝るず,ね
寝るて,ね
寝るよ,ね
寝るら,ね
寝るさ,ね
寝るろ,ね
寝付き,ねつ
寝付く,ねつ
寝付い,ねつ
寝付か,ねつ
寝付おう,ねつ
寝付け,ねつ
寝付え,ねつ
寝入り,ねいり
寝冷え,ねびえ
寝坊,ねぼう
寝泊まり,ねとまり
寝転び,ねころ
寝転ぶ,ねころ
寝転ん,ねころ
寝転ば,ねころ
寝転ぼ,ねころ
寝転べ,ねころ
寝転ば,ねころ
寝転べ,ねころ
寝込み,ねこ
寝込む,ねこ
寝込ん,ねこ
寝込ま,ねこ
寝込め,ねこ
寝込な,ねこ
寝返り,ねがえり
寝返り,ねがえ
寝返る,ねがえ
寝返った,ねがえ
寝返ら,ねがえ
寝返って,ねがえ
寝返ろ,ねがえ
寝返れ,ねがえ
寝返ら,ねがえ
寝過ごし,ねすご
寝過ごす,ねすご
寝過ごさ,ねすご
寝過ごそ,ねすご
寝過ごせ,ねすご
寝静まり,ねしずま
寝静まる,ねしずま
寝静まった,ねしずま
寝静まら,ねしずま
寝静まって,ねしずま
寝静まろ,ねしずま
寝静まれ,ねしずま
寝静まら,ねしずま
察すま,さっ
察する,さっ
察すた,さっ
察すな,さっ
察すず,さっ
察すて,さっ
察すよ,さっ
察すら,さっ
察すさ,さっ
察すろ,さっ
察知,さっち
審判,しんぱん
審問,しんもん
審査,しんさ
審理,しんり
審議,しんぎ
寸断,すんだん
対処,たいしょ
対向,たいこう
対局,たいきょく
対峙,たいじ
対応,たいおう
対戦,たいせん
対抗,たいこう
対決,たいけつ
対立,たいりつ
対置,たいち
対話,たいわ
対談,たいだん
対論,たいろん
対面,たいめん
封じま,ふう
封じる,ふう
封じた,ふう
封じな,ふう
封じず,ふう
封じて,ふう
封じよ,ふう
封じら,ふう
封じさ,ふう
封じろ,ふう
封切り,ふうきり
封建,ほうけん
封殺,ふうさつ
封鎖,ふうさ
専修,せんしゅう
専売,せんばい
専属,せんぞく
専従,せんじゅう
専心,せんしん
専念,せんねん
専攻,せんこう
専有,せんゆう
専用,せんよう
射し,さ
射す,さ
射さ,さ
射そ,さ
射せ,さ
射るま,い
射るる,い
射るた,い
射るな,い
射るず,い
射るて,い
射るよ,い
射るら,い
射るさ,い
射るろ,い
射撃,しゃげき
射止めま,いと
射止める,いと
射止めた,いと
射止めな,いと
射止めず,いと
射止めて,いと
射止めよ,いと
射止めら,いと
射止めさ,いと
射止めろ,いと
射殺,しゃさつ
射精,しゃせい
将来,しょうらい
尊敬,そんけい
尊重,そんちょう
尋ねま,たず
尋ねる,たず
尋ねた,たず
尋ねな,たず
尋ねず,たず
尋ねて,たず
尋ねよ,たず
尋ねら,たず
尋ねさ,たず
尋ねろ,たず
尋問,じんもん
導き,みちび
導く,みちび
導い,みちび
導か,みちび
導おう,みちび
導け,みちび
導え,みちび
導入,どうにゅう
小休止,しょうきゅうし
小便,しょうべん
小分け,こわけ
小売,こうり
小躍り,こおどり
尖り,とが
尖る,とが
尖った,とが
尖ら,とが
尖って,とが
尖ろ,とが
尖れ,とが
尖ら,とが
就き,つ
就く,つ
就い,つ
就か,つ
就おう,つ
就け,つ
就え,つ
就任,しゅうにん
就労,しゅうろう
就学,しゅうがく
就寝,しゅうしん
就役,しゅうえき
就業,しゅうぎょう
就職,しゅうしょく
就航,しゅうこう
尽きま,つ
尽きる,つ
尽きた,つ
尽きな,つ
尽きず,つ
尽きて,つ
尽きよ,つ
尽きら,つ
尽きさ,つ
尽きろ,つ
尽くし,つく
尽くす,つく
尽くさ,つく
尽くそ,つく
尽くせ,つく
尽力,じんりょく
尾行,びこう
居るま,い
居るる,い
居るた,い
居るな,い
居るず,い
居るて,い
居るよ,い
居るら,い
居るさ,い
居るろ,い
居り,お
居る,お
居った,お
居ら,お
居って,お
居ろ,お
居れ,お
居ら,お
居並び,いなら
居並ぶ,いなら
居並ん,いなら
居並ば,いなら
居並ぼ,いなら
居並べ,いなら
居並ば,いなら
居並べ,いなら
居住,きょじゅう
居候,いそうろう
居合わせま,いあわ
居合わせる,いあわ
居合わせた,いあわ
居合わせな,いあわ
居合わせず,いあわ
居合わせて,いあわ
居合わせよ,いあわ
居合わせら,いあわ
居合わせさ,いあわ
居合わせろ,いあわ
居座り,いすわ
居座る,いすわ
居座った,いすわ
居座ら,いすわ
居座って,いすわ
居座ろ,いすわ
居座れ,いすわ
居座ら,いすわ
居残り,いのこ
居残る,いのこ
居残った,いのこ
居残ら,いのこ
居残って,いのこ
居残ろ,いのこ
居残れ,いのこ
居残ら,いのこ
居留,きょりゅう
居直り,いなお
居直る,いなお
居直った,いなお
居直ら,いなお
居直って,いなお
居直ろ,いなお
居直れ,いなお
居直ら,いなお
居眠り,いねむ
屈すま,くっ
屈する,くっ
屈すた,くっ
屈すな,くっ
屈すず,くっ
屈すて,くっ
屈すよ,くっ
屈すら,くっ
屈すさ,くっ
屈すろ,くっ
屈伸,くっしん
屈折,くっせつ
屈服,くっぷく
屈託,くったく
届き,とど
届く,とど
届い,とど
届か,とど
届おう,とど
届け,とど
届え,とど
届けま,とど
届ける,とど
届けた,とど
届けな,とど
届けず,とど
届けて,とど
届けよ,とど
届けら,とど
届けさ,とど
届けろ,とど
展望,てんぼう
展示,てんじ
展覧,てんらん
展観,てんかん
展開,てんかい
属すま,ぞく
属する,ぞく
属すた,ぞく
属すな,ぞく
属すず,ぞく
属すて,ぞく
属すよ,ぞく
属すら,ぞく
属すさ,ぞく
属すろ,ぞく
履き,は
履く,は
履い,は
履か,は
履おう,は
履け,は
履え,は
履修,りしゅう
履行,りこう
山分け,やまわけ
山崩れ,やまくずれ
山積,さんせき
山積み,やまづみ
峻別,しゅんべつ
崇拝,すうはい
崩し,くず
崩す,くず
崩さ,くず
崩そ,くず
崩せ,くず
崩れま,くず
崩れる,くず
崩れた,くず
崩れな,くず
崩れず,くず
崩れて,くず
崩れよ,くず
崩れら,くず
崩れさ,くず
崩れろ,くず
崩壊,ほうかい
崩落,ほうらく
嵌まり,はま
嵌まる,はま
嵌まった,はま
嵌まら,はま
嵌まって,はま
嵌まろ,はま
嵌まれ,はま
嵌まら,はま
嵌めま,は
嵌める,は
嵌めた,は
嵌めな,は
嵌めず,は
嵌めて,は
嵌めよ,は
嵌めら,は
嵌めさ,は
嵌めろ,は
巡らし,めぐら
巡らす,めぐら
巡らさ,めぐら
巡らそ,めぐら
巡らせ,めぐら
巡り,めぐ
巡る,めぐ
巡った,めぐ
巡ら,めぐ
巡って,めぐ
巡ろ,めぐ
巡れ,めぐ
巡ら,めぐ
巡回,じゅんかい
巡業,じゅんぎょう
巡演,じゅんえん
巡礼,じゅんれい
巡航,じゅんこう
巡行,じゅんこう
巡視,じゅんし
巣立ち,すだ
巣立つ,すだ
巣立った,すだ
巣立た,すだ
巣立って,すだ
巣立とう,すだ
巣立げ,すだ
巣立た,すだ
巣立て,すだ
巣食い,すく
巣食う,すく
巣食った,すく
巣食わ,すく
巣食って,すく
巣食お,すく
巣食え,すく
巣食わ,すく
工事,こうじ
工作,こうさく
工夫,くふう
工面,くめん
左折,させつ
左遷,させん
巫山戯ま,ふざ
巫山戯る,ふざ
巫山戯た,ふざ
巫山戯な,ふざ
巫山戯ず,ふざ
巫山戯て,ふざ
巫山戯よ,ふざ
巫山戯ら,ふざ
巫山戯さ,ふざ
巫山戯ろ,ふざ
差し,さ
差す,さ
差さ,さ
差そ,さ
差せ,さ
差別,さべつ
巻き,ま
巻く,ま
巻い,ま
巻か,ま
巻おう,ま
巻け,ま
巻え,ま
市販,しはん
布告,ふこく
布教,ふきょう
布施,ふせ
布石,ふせき
帆走,はんそう
希望,きぼう
希求,ききゅう
師事,しじ
席巻,せっけん
帯びま,お
帯びる,お
帯びた,お
帯びな,お
帯びず,お
帯びて,お
帯びよ,お
帯びら,お
帯びさ,お
帯びろ,お
帰し,かえ
帰す,かえ
帰さ,かえ
帰そ,かえ
帰せ,かえ
帰り,かえ
帰る,かえ
帰った,かえ
帰ら,かえ
帰って,かえ
帰ろ,かえ
帰れ,かえ
帰ら,かえ
帰京,ききょう
帰任,きにん
帰依,きえ
帰化,きか
帰国,きこく
帰宅,きたく
帰属,きぞく
帰港,きこう
帰省,きせい
帰着,きちゃく
帰結,きけつ
帰還,きかん
帰郷,ききょう
帰順,きじゅん
常任,じょうにん
常備,じょうび
常勝,じょうしょう
常勤,じょうきん
常用,じょうよう
常習,じょうしゅう
常設,じょうせつ
常食,じょうしょく
常駐,じょうちゅう
干し,ほ
干す,ほ
干さ,ほ
干そ,ほ
干せ,ほ
干るま,ひ
干るる,ひ
干るた,ひ
干るな,ひ
干るず,ひ
干るて,ひ
干るよ,ひ
干るら,ひ
干るさ,ひ
干るろ,ひ
干上がり,ひあが
干上がる,ひあが
干上がった,ひあが
干上がら,ひあが
干上がって,ひあが
干上がろ,ひあが
干上がれ,ひあが
干上がら,ひあが
干拓,かんたく
干渉,かんしょう
平定,へいてい
平行,へいこう
年をとり,としと
年をとる,としと
年をとった,としと
年をとら,としと
年をとって,としと
年をとろ,としと
年をとれ,としと
年をとら,としと
年寄り,としよ
年寄る,としよ
年寄った,としよ
年寄ら,としよ
年寄って,としよ
年寄ろ,としよ
年寄れ,としよ
年寄ら,としよ
年越し,としこし
幻惑,げんわく
幻想,げんそう
幻滅,げんめつ
幽閉,ゆうへい
広々,ひろびろ
広がり,ひろが
広がる,ひろが
広がった,ひろが
広がら,ひろが
広がって,ひろが
広がろ,ひろが
広がれ,ひろが
広がら,ひろが
広げま,ひろ
広げる,ひろ
広げた,ひろ
広げな,ひろ
広げず,ひろ
広げて,ひろ
広げよ,ひろ
広げら,ひろ
広げさ,ひろ
広げろ,ひろ
広まり,ひろま
広まる,ひろま
広まった,ひろま
広まら,ひろま
広まって,ひろま
広まろ,ひろま
広まれ,ひろま
広まら,ひろま
広めま,ひろ
広める,ひろ
広めた,ひろ
広めな,ひろ
広めず,ひろ
広めて,ひろ
広めよ,ひろ
広めら,ひろ
広めさ,ひろ
広めろ,ひろ
広告,こうこく
広報,こうほう
庇い,かば
庇う,かば
庇った,かば
庇わ,かば
庇って,かば
庇お,かば
庇え,かば
庇わ,かば
庇護,ひご
底入れ,そこいれ
底冷え,そこびえ
店開き,みせびらき
度外視,どがいし
度重なり,たびかさな
度重なる,たびかさな
度重なった,たびかさな
度重なら,たびかさな
度重なって,たびかさな
度重なろ,たびかさな
度重なれ,たびかさな
度重なら,たびかさな
座り,すわ
座る,すわ
座った,すわ
座ら,すわ
座って,すわ
座ろ,すわ
座れ,すわ
座ら,すわ
座礁,ざしょう
座視,ざし
廃刊,はいかん
廃園,はいえん
廃坑,はいこう
廃校,はいこう
廃棄,はいき
廃業,はいぎょう
廃止,はいし
廉売,れんばい
延ばし,のば
延ばす,のば
延ばさ,のば
延ばそ,のば
延ばせ,のば
延びま,のび
延びる,のび
延びた,のび
延びな,のび
延びず,のび
延びて,のび
延びよ,のび
延びら,のび
延びさ,のび
延びろ,のび
延べま,のべ
延べる,のべ
延べた,のべ
延べな,のべ
延べず,のべ
延べて,のべ
延べよ,のべ
延べら,のべ
延べさ,のべ
延べろ,のべ
延期,えんき
延滞,えんたい
延焼,えんしょう
延納,えんのう
延長,えんちょう
建ち,た
建つ,た
建った,た
建た,た
建って,た
建とう,た
建げ,た
建た,た
建て,た
建てま,た
建てる,た
建てた,た
建てな,た
建てず,た
建てて,た
建てよ,た
建てら,た
建てさ,た
建てろ,た
建国,けんこく
建立,こんりゅう
建築,けんちく
建設,けんせつ
建造,けんぞう
弁えま,わきま
弁える,わきま
弁えた,わきま
弁えな,わきま
弁えず,わきま
弁えて,わきま
弁えよ,わきま
弁えら,わきま
弁えさ,わきま
弁えろ,わきま
弁償,べんしょう
弁明,べんめい
弁済,べんさい
弁解,べんかい
弁論,べんろん
弁護,べんご
弄り,いじ
弄る,いじ
弄った,いじ
弄ら,いじ
弄って,いじ
弄ろ,いじ
弄れ,いじ
弄ら,いじ
弔い,とむら
弔う,とむら
弔った,とむら
弔わ,とむら
弔って,とむら
弔お,とむら
弔え,とむら
弔わ,とむら
弔問,ちょうもん
引き,ひき
引きずり,ひきず
引きずる,ひきず
引きずった,ひきず
引きずら,ひきず
引きずって,ひきず
引きずろ,ひきず
引きずれ,ひきず
引きずら,ひきず
引きつけま,ひきつ
引きつける,ひきつ
引きつけた,ひきつ
引きつけな,ひきつ
引きつけず,ひきつ
引きつけて,ひきつ
引きつけよ,ひきつ
引きつけら,ひきつ
引きつけさ,ひきつ
引きつけろ,ひきつ
引きつり,ひきつ
引きつる,ひきつ
引きつった,ひきつ
引きつら,ひきつ
引きつって,ひきつ
引きつろ,ひきつ
引きつれ,ひきつ
引きつら,ひきつ
引き,ひ
引く,ひ
引い,ひ
引か,ひ
引おう,ひ
引け,ひ
引え,ひ
引っかかり,ひっかか
引っかかる,ひっかか
引っかかった,ひっかか
引っかから,ひっかか
引っかかって,ひっかか
引っかかろ,ひっかか
引っかかれ,ひっかか
引っかから,ひっかか
引火,いんか
引率,いんそつ
引用,いんよう
引責,いんせき
引退,いんたい
弛み,たる
弛む,たる
弛ん,たる
弛ま,たる
弛め,たる
弛な,たる
弛緩,しかん
弟子入り,でしいり
弱まり,よわ
弱まる,よわ
弱まった,よわ
弱まら,よわ
弱まって,よわ
弱まろ,よわ
弱まれ,よわ
弱まら,よわ
弱めま,よわ
弱める,よわ
弱めた,よわ
弱めな,よわ
弱めず,よわ
弱めて,よわ
弱めよ,よわ
弱めら,よわ
弱めさ,よわ
弱めろ,よわ
弱り,よわ
弱る,よわ
弱った,よわ
