新型コロナウイルス感染症,しんがたコロナウイルスかんせんしょう
温度計,おんどけい
女の子,おんなのこ
女の人,おんなのひと
母さん,かあさん
飼い犬,かいいぬ
海運業,かいうんぎょう
海王星,かいおうせい
買い方,かいかた
海岸線,かいがんせん
回帰線,かいきせん
会議室,かいぎしつ
開業医,かいぎょうい
会計士,かいけいし
解決策,かいけつさく
戒厳令,かいげんれい
回顧録,かいころく
改札口,かいさつぐち
海産物,かいさんぶつ
介して,かいして
会社員,かいしゃいん
海水浴,かいすいよく
回数券,かいすうけん
解像度,かいぞうど
海賊版,かいぞくばん
開拓者,かいたくしゃ
買い手,かいて
改訂版,かいていばん
買い得,かいどく
か否か,かいなか
飼い主,かいぬし
買い主,かいぬし
飼い猫,かいねこ
開発者,かいはつしゃ
開発部,かいはつぶ
開発元,かいはつもと
怪文書,かいぶんしょ
海兵隊,かいへいたい
解放区,かいほうく
解剖学,かいぼうがく
買い物,かいもの
替え歌,かえうた
替え玉,かえだま
却って,かえ
返り点,かえりてん
帰り道,かえりみち
火炎瓶,かえんびん
顔立ち,かおだ
顔つき,かお
顔ぶれ,かおぶ
顔負け,かおま
顔向け,かおむ
掛かり,か
加害者,かがいしゃ
科学史,かがくし
科学者,かがくしゃ
科学的,かがくてき
書き方,かきかた
かき氷,かきごおり
書き手,かきて
可及的,かきゅうてき
核家族,かくかぞく
核実験,かくじっけん
拡声器,かくせいき
覚醒剤,かくせいざい
核弾頭,かくだんとう
拡張子,かくちょうし
核燃料,かくねんりょう
格納庫,かくのうこ
核の傘,かくのかさ
核爆発,かくばくはつ
核分裂,かくぶんれつ
核兵器,かくへいき
核融合,かくゆうごう
隠れ家,かくれが
駆け足,かけあし
家計簿,かけいぼ
掛け金,かけきん
掛け声,かけごえ
掛け算,かけざん
掛け軸,かけじく
掛け値,かけね
影武者,かげむしゃ
化合物,かごうぶつ
火砕流,かさいりゅう
重なり,かさ
重ね着,かさねぎ
風向き,かざむき
飾り気,かざりけ
飾り物,かざりもの
火山灰,かざんばい
下士官,かしかん
貸出用,かしだしよう
貸し手,かして
菓子屋,かしや
可処分,かしょぶん
頭文字,かしらもじ
火事場,かじば
果樹園,かじゅえん
数多く,かずおお
家政学,かせいがく
家政婦,かせいふ
河川敷,かせんじき
風邪薬,かぜぐすり
風邪気,かぜけ
風通し,かぜとおし
加速度,かそくど
片田舎,かたいなか
片思い,かたおも
片仮名,かたかな
肩書き,かたがき
肩こり,かた
片手間,かたてま
型破り,かたやぶり
語らい,かたらい
語らう,かたらう
語り口,かたりくち
語り草,かたりぐさ
語り手,かたりて
語り物,かたりもの
価値観,かちかん
勝ち気,かちき
勝ち星,かちぼし
勝ち目,かちめ
課徴金,かちょうきん
活火山,かっかざん
画期的,かっきてき
活性炭,かっせいたん
滑走路,かっそうろ
勝手口,かってぐち
活動家,かつどうか
家庭医,かていい
家庭科,かていか
家庭内,かていない
過渡期,かとき
稼働率,かどうりつ
悲し,かな
金縛り,かなしば
悲しみ,かなしみ
金持ち,かねもち
可燃性,かねんせい
可燃物,かねんぶつ
可能性,かのうせい
下半身,かはんしん
過半数,かはんすう
下腹部,かふくぶ
過不足,かふそく
花粉症,かふんしょう
歌舞伎,かぶき
被り物,かぶりもの
気触れ,かぶ
壁掛け,かべか
壁新聞,かべしんぶん
過保護,かほご
髪飾り,かみかざ
紙切れ,かみき
紙くず,かみ
紙芝居,かみしばい
神頼み,かみだのみ
髪の毛,かみのけ
上半期,かみはんき
紙一重,かみひとえ
紙吹雪,かみふぶき
髪結い,かみゆい
歌謡曲,かようきょく
火曜日,かようび
か弱い,かよわ
唐揚げ,からあ
体つき,からだ
空っぽ,から
空オケ,から
借入金,かりいれきん
仮処分,かりしょぶん
借り手,かりて
借り主,かりぬし
借り物,かりもの
花柳界,かりゅうかい
枯れ枝,かれえだ
枯れ木,かれき
枯れ草,かれくさ
軽やか,かろ
可愛い,かわい
可哀想,かわいそう
皮切り,かわきり
皮算用,かわざんよう
革製品,かわせいひん
川沿い,かわぞ
川流れ,かわなが
代わり,か
変わり,か
間一髪,かんいっぱつ
感覚器,かんかくき
感覚的,かんかくてき
考え方,かんがえかた
管楽器,かんがっき
換気扇,かんきせん
柑橘類,かんきつるい
環境庁,かんきょうちょう
関係者,かんけいしゃ
管弦楽,かんげんがく
観光客,かんこうきゃく
官公庁,かんこうちょう
肝硬変,かんこうへん
韓国語,かんこくご
閑古鳥,かんこどり
看護師,かんごし
看護婦,かんごふ
艦載機,かんさいき
監察医,かんさつい
監察官,かんさつかん
監査役,かんさやく
慣習法,かんしゅうほう
感傷的,かんしょうてき
関心事,かんしんじ
感受性,かんじゅせい
環状線,かんじょうせん
感情的,かんじょうてき
感情論,かんじょうろん
勧進帳,かんじんちょう
管制官,かんせいかん
管制塔,かんせいとう
関節炎,かんせつえん
間接税,かんせつぜい
間接的,かんせつてき
感染症,かんせんしょう
乾燥機,かんそうき
甲高い,かんだかい
寒暖計,かんだんけい
乾電池,かんでんち
冠動脈,かんどうみゃく
堪忍袋,かんにんぶくろ
観念的,かんねんてき
芳しい,かんば
漢方薬,かんぽうやく
甘味料,かんみりょう
慣用句,かんようく
歓楽街,かんらくがい
管理者,かんりしゃ
管理職,かんりしょく
管理人,かんりにん
乾パン,かん
外交員,がいこういん
外交官,がいこうかん
外交団,がいこうだん
外国語,がいこくご
外国人,がいこくじん
概して,がい
街宣車,がいせんしゃ
外務員,がいむいん
外務省,がいむしょう
外野手,がいやしゅ
外来語,がいらいご
街路樹,がいろじゅ
学芸会,がくげいかい
学士院,がくしいん
学問的,がくもんてき
学用品,がくようひん
学会誌,がっかいし
学校名,がっこうめい
合衆国,がっしゅうこく
合唱団,がっしょうだん
合併症,がっぺいしょう
画用紙,がようし
眼科医,がんかい
黄色い,きいろ
既往症,きおうしょう
幾何学,きかがく
企画室,きかくしつ
機関紙,きかんし
機関士,きかんし
気管支,きかんし
機関車,きかんしゃ
機関銃,きかんじゅう
気構え,きがまえ
利き酒,ききざけ
聞き手,ききて
効き目,ききめ
聞き役,ききやく
貴金属,ききんぞく
企業家,きぎょうか
危険性,きけんせい
紀元前,きげんぜん
貴公子,きこうし
聞こえ,きこ
着心地,きごこち
気さく,き
騎士道,きしどう
寄宿舎,きしゅくしゃ
気象学,きしょうがく
気象台,きしょうだい
気象庁,きしょうちょう
基準法,きじゅんほう
寄生虫,きせいちゅう
既製品,きせいひん
既製服,きせいふく
季節風,きせつふう
規則的,きそくてき
期待感,きたいかん
北九州,きたきゅうしゅう
北朝鮮,きたちょうせん
北半球,きたはんきゅう
北向き,きたむき
北寄り,きたよ
気違い,きちが
貴重品,きちょうひん
几帳面,きちょうめん
喫茶店,きっさてん
着付け,きつ
気づき,き
気付け,きづ
既得権,きとくけん
機動隊,きどうたい
着流し,きなが
絹織物,きぬおりもの
記念碑,きねんひ
記念日,きねんび
気の毒,きのどく
木の実,きのみ
木の芽,きのめ
揮発油,きはつゆ
厳しい,きびし
厳しさ,きび
貴婦人,きふじん
基本的,きほんてき
希望的,きぼうてき
喜望峰,きぼうほう
木彫り,きぼ
気まま,き
決まり,き
君が代,きみがよ
君たち,きみた
機密費,きみつひ
決め球,きめだま
決め手,きめて
気持ち,きもち
客観性,きゃっかんせい
客観的,きゃっかんてき
気安い,きやす
休刊日,きゅうかんび
救急車,きゅうきゅうしゃ
救急箱,きゅうきゅうばこ
休憩所,きゅうけいじょ
吸血鬼,きゅうけつき
旧正月,きゅうしょうがつ
求心力,きゅうしんりょく
吸水性,きゅうすいせい
急性期,きゅうせいき
救世軍,きゅうせいぐん
救世主,きゅうせいしゅ
急成長,きゅうせいちょう
急先鋒,きゅうせんぽう
給油所,きゅうゆじょ
教育者,きょういくしゃ
教育的,きょういくてき
教科書,きょうかしょ
供給源,きょうきゅうげん
競技場,きょうぎじょう
強行軍,きょうこうぐん
教護院,きょうごいん
共産党,きょうさんとう
狂詩曲,きょうしきょく
教職員,きょうしょくいん
狭心症,きょうしんしょう
強制的,きょうせいてき
協奏曲,きょうそうきょく
競走馬,きょうそうば
競争力,きょうそうりょく
教則本,きょうそくぼん
共通語,きょうつうご
共通点,きょうつうてん
共同体,きょうどうたい
郷土色,きょうどしょく
恐怖症,きょうふしょう
共和国,きょうわこく
共和制,きょうわせい
共和党,きょうわとう
虚栄心,きょえいしん
局留め,きょくどめ
巨視的,きょしてき
拒食症,きょしょくしょう
居住者,きょじゅうしゃ
拒否権,きょひけん
居留民,きょりゅうみん
清らか,きよ
切り株,きりかぶ
切り傷,きりきず
切り口,きりくち
切り羽,きりは
切り花,きりばな
霧吹き,きりふき
切り札,きりふだ
切り身,きりみ
切れ味,きれあじ
切れ端,きれはし
切れ目,きれめ
記録的,きろくてき
際どい,きわど
近距離,きんきょり
金婚式,きんこんしき
禁止法,きんしほう
金字塔,きんじとう
禁制品,きんせいひん
近代詩,きんだいし
近代的,きんだいてき
禁治産,きんちさん
筋肉質,きんにくしつ
金屏風,きんびょうぶ
金融庁,きんゆうちょう
金曜日,きんようび
禁欲的,きんよくてき
勤労者,きんろうしゃ
義援金,ぎえんきん
議事堂,ぎじどう
技術者,ぎじゅつしゃ
技術的,ぎじゅつてき
技術力,ぎじゅつりょく
議事録,ぎじろく
犠牲者,ぎせいしゃ
義太夫,ぎだゆう
議定書,ぎていしょ
義務的,ぎむてき
疑問点,ぎもんてん
疑問符,ぎもんふ
逆効果,ぎゃくこうか
業界紙,ぎょうかいし
行政官,ぎょうせいかん
行政権,ぎょうせいけん
魚介類,ぎょかいるい
儀礼的,ぎれいてき
銀河系,ぎんがけい
吟醸酒,ぎんじょうしゅ
銀世界,ぎんせかい
食い物,くいもの
区切り,くぎり
草刈り,くさか
草取り,くさと
草の根,くさのね
草毟り,くさむしり
草野球,くさやきゅう
草分け,くさわ
下さい,くだ
下り坂,くだりざか
口煩い,くちうるさい
口利き,くちきき
口切り,くちき
駆逐艦,くちくかん
口々に,くちぐちに
口ぶり,くちぶり
口コミ,くちコミ
句読点,くとうてん
宮内庁,くないちょう
配り物,くばりもの
首飾り,くびかざ
首切り,くびき
隈なく,くま
雲の上,くものうえ
雲行き,くもゆき
曇り空,くもりぞら
区役所,くやくしょ
悔しい,くや
悔し涙,くやしなみだ
悔やみ,く
暮らし,く
苦し,くる
車椅子,くるまいす
車止め,くるまどめ
黒い霧,くろいきり
苦労人,くろうにん
黒砂糖,くろざとう
黒塗り,くろぬり
詳しい,くわ
具体的,ぐたいてき
愚連隊,ぐれんたい
軍資金,ぐんしきん
経営者,けいえいしゃ
軽音楽,けいおんがく
計画的,けいかくてき
経企庁,けいきちょう
軽金属,けいきんぞく
経験者,けいけんしゃ
経験値,けいけんち
経験的,けいけんてき
軽工業,けいこうぎょう
蛍光灯,けいこうとう
警察官,けいさつかん
警察権,けいさつけん
警察署,けいさつしょ
警察庁,けいさつちょう
計算機,けいさんき
計算書,けいさんしょ
経済界,けいざいかい
経済学,けいざいがく
経済的,けいざいてき
形式的,けいしきてき
警視庁,けいしちょう
掲示板,けいじばん
継続的,けいぞくてき
系統的,けいとうてき
軽犯罪,けいはんざい
競馬場,けいばじょう
警報器,けいほうき
刑務所,けいむしょ
契約書,けいやくしょ
形容詞,けいようし
化粧水,けしょうすい
削り節,けずりぶし
結果論,けっかろん
結婚式,けっこんしき
決勝戦,けっしょうせん
決勝点,けっしょうてん
血小板,けっしょうばん
決定的,けっていてき
決定版,けっていばん
血統書,けっとうしょ
血糖値,けっとうち
血液型,けつえきがた
血友病,けつゆうびょう
毛並み,けなみ
煙たい,けむた
険しい,けわ
検疫所,けんえきじょ
嫌悪感,けんおかん
研究員,けんきゅういん
研究家,けんきゅうか
研究官,けんきゅうかん
研究室,けんきゅうしつ
研究者,けんきゅうしゃ
研究所,けんきゅうじょ
健康的,けんこうてき
検察官,けんさつかん
検察庁,けんさつちょう
研修員,けんしゅういん
献身的,けんしんてき
検事局,けんじきょく
検事正,けんじせい
健常者,けんじょうしゃ
県人会,けんじんかい
建設省,けんせつしょう
建設的,けんせつてき
建造物,けんぞうぶつ
建築家,けんちくか
建築学,けんちくがく
建築士,けんちくし
建築物,けんちくぶつ
県知事,けんちじ
遣唐使,けんとうし
券売機,けんばいき
顕微鏡,けんびきょう
見物人,けんぶつにん
権利金,けんりきん
芸術院,げいじゅついん
芸術家,げいじゅつか
芸術祭,げいじゅつさい
芸術的,げいじゅつてき
芸能人,げいのうじん
迎賓館,げいひんかん
外科医,げかい
劇映画,げきえいが
劇中劇,げきちゅうげき
下克上,げこくじょう
下水道,げすいどう
月桂冠,げっけいかん
月曜日,げつようび
解熱剤,げねつざい
下馬評,げばひょう
弦楽器,げんがっき
現行犯,げんこうはん
原産地,げんさんち
原材料,げんざいりょう
原子核,げんしかく
原始人,げんしじん
原子力,げんしりょく
原子炉,げんしろ
現実的,げんじつてき
現時点,げんじてん
現住所,げんじゅうしょ
原住民,げんじゅうみん
原水爆,げんすいばく
幻想曲,げんそうきょく
現代的,げんだいてき
現代版,げんだいばん
現段階,げんだんかい
厳冬期,げんとうき
原動機,げんどうき
原動力,げんどうりょく
限度額,げんどがく
原判決,げんはんけつ
恋しい,こい
降圧剤,こうあつざい
更衣室,こういしつ
後遺症,こういしょう
高緯度,こういど
講演会,こうえんかい
公開中,こうかいちゅう
公会堂,こうかいどう
効果的,こうかてき
交換手,こうかんしゅ
好感度,こうかんど
高感度,こうかんど
向学心,こうがくしん
高学年,こうがくねん
工学部,こうがくぶ
高気圧,こうきあつ
好奇心,こうきしん
高機能,こうきのう
交響楽,こうきょうがく
交響曲,こうきょうきょく
交響詩,こうきょうし
航空学,こうくうがく
航空機,こうくうき
航空券,こうくうけん
航空便,こうくうびん
好景気,こうけいき
高血圧,こうけつあつ
膠原病,こうげんびょう
高校生,こうこうせい
考古学,こうこがく
甲骨文,こうこつぶん
光合成,こうごうせい
交際費,こうさいひ
工作員,こうさくいん
交差点,こうさてん
高山病,こうざんびょう
公式戦,こうしきせん
公社債,こうしゃさい
高射砲,こうしゃほう
高収入,こうしゅうにゅう
高周波,こうしゅうは
絞首刑,こうしゅけい
公証人,こうしょうにん
行進曲,こうしんきょく
後進国,こうしんこく
興信所,こうしんじょ
香辛料,こうしんりょう
工事中,こうじちゅう
口上書,こうじょうしょ
甲状腺,こうじょうせん
高水準,こうすいじゅん
降水量,こうすいりょう
厚生省,こうせいしょう
好成績,こうせいせき
高精度,こうせいど
高性能,こうせいのう
交戦国,こうせんこく
高速度,こうそくど
構造物,こうぞうぶつ
皇太后,こうたいごう
皇太子,こうたいし
拘置所,こうちしょ
公聴会,こうちょうかい
交通費,こうつうひ
交通網,こうつうもう
好都合,こうつごう
好敵手,こうてきしゅ
後天性,こうてんせい
後天的,こうてんてき
高等科,こうとうか
口内炎,こうないえん
小女子,こうなご
光熱費,こうねつひ
更年期,こうねんき
広範囲,こうはんい
後半生,こうはんせい
後半戦,こうはんせん
購買力,こうばいりょく
高品質,こうひんしつ
公文書,こうぶんしょ
候補者,こうほしゃ
高密度,こうみつど
公民館,こうみんかん
公民権,こうみんけん
皇民党,こうみんとう
公務員,こうむいん
公明党,こうめいとう
広葉樹,こうようじゅ
公用文,こうようぶん
行楽地,こうらくち
効率的,こうりつてき
高齢者,こうれいしゃ
港湾局,こうわんきょく
子飼い,こが
子会社,こがいしゃ
小為替,こがわせ
小刻み,こきざみ
小気味,こきみ
呼吸器,こきゅうき
小切手,こぎって
刻一刻,こくいっこく
国語学,こくごがく
国際色,こくさいしょく
国際人,こくさいじん
国際的,こくさいてき
国際法,こくさいほう
国税局,こくぜいきょく
国税庁,こくぜいちょう
国土庁,こくどちょう
国文学,こくぶんがく
国分寺,こくぶんじ
国民性,こくみんせい
国民的,こくみんてき
国務省,こくむしょう
国有化,こくゆうか
黒曜石,こくようせき
個々人,ここじん
此処等,ここら
心意気,こころいき
心から,こころから
心がけ,こころがけ
心構え,こころがまえ
心配り,こころくばり
心遣い,こころづか
心強い,こころづよ
心憎い,こころにく
心残り,こころのこ
心細い,こころぼそ
心持ち,こころも
小さじ,こ
小細工,こざいく
腰掛け,こしか
腰砕け,こしくだ
孤児院,こじいん
個人差,こじんさ
個人的,こじんてき
個性的,こせいてき
古生物,こせいぶつ
小高い,こだか
小出し,こだし
国慶節,こっけいせつ
凝った,こった
小遣い,こづかい
固定費,こていひ
固定票,こていひょう
小手先,こてさき
古典的,こてんてき
断らず,ことわらず
小道具,こどうぐ
子供心,こどもごころ
子供用,こどもよう
小人数,こにんずう
この間,このあいだ
この内,このうち
この頃,このごろ
木の葉,このは
この辺,このへん
この外,このほか
この前,このまえ
好んで,このんで
細か,こま
小回り,こまわ
小麦粉,こむぎこ
小文字,こもじ
子持ち,こも
子守唄,こもりうた
古文書,こもんじょ
肥やし,こ
凝り性,こりしょう
これ迄,これまで
これ等,これら
殺し屋,ころしや
転び寝,ころびね
衣替え,ころもがえ
根拠地,こんきょち
混血児,こんけつじ
今週末,こんしゅうまつ
今日的,こんにちてき
今日は,こんにちは
今年度,こんねんど
今晩は,こんばんは
根本的,こんぽんてき
婚約者,こんやくしゃ
豪華版,ごうかばん
合成語,ごうせいご
合法的,ごうほうてき
合理的,ごうりてき
碁会所,ごかいじょ
語学力,ごがくりょく
極彩色,ごくさいしき
御三家,ごさんけ
ご主人,ごしゅじん
五十音,ごじゅうおん
五重奏,ごじゅうそう
五線譜,ごせんふ
午前中,ごぜんちゅう
ご存知,ごぞんじ
五人組,ごにんぐみ
ご破算,ごはさん
ご褒美,ごほうび
御用達,ごようたし
御用邸,ごようてい
御利益,ごりやく
ご連絡,ごれんらく
最右翼,さいうよく
最恵国,さいけいこく
最高級,さいこうきゅう
最高検,さいこうけん
最高裁,さいこうさい
最高潮,さいこうちょう
最後尾,さいこうび
最高峰,さいこうほう
最後列,さいこうれつ
際して,さいして
最終的,さいしゅうてき
最小限,さいしょうげん
最新鋭,さいしんえい
歳時記,さいじき
最重点,さいじゅうてん
最盛期,さいせいき
最先端,さいせんたん
最前線,さいぜんせん
最前列,さいぜんれつ
最大限,さいだいげん
再調査,さいちょうさ
最低限,さいていげん
再認識,さいにんしき
最年少,さいねんしょう
再配置,さいはいち
裁判官,さいばんかん
裁判所,さいばんしょ
再分配,さいぶんぱい
再保険,さいほけん
細胞内,さいぼうない
催眠術,さいみんじゅつ
最優遇,さいゆうぐう
早乙女,さおとめ
逆しま,さか
逆立ち,さかだち
魚釣り,さかなつり
逆らう,さか
盛り場,さかりば
探し物,さがしもの
先ほど,さきほ
先行き,さきゆ
詐欺師,さぎし
作為的,さくいてき
昨年度,さくねんど
昨年来,さくねんらい
桜んぼ,さくらんぼ
酒好き,さけずき
酒造り,さけづく
酒飲み,さけの
叫び声,さけびごえ
裂け目,さけめ
下げ足,さげあし
細やか,ささやか
刺し網,さしあみ
差出人,さしだしにん
差し手,さして
指し手,さして
誘い水,さそいみず
作曲家,さっきょくか
殺虫剤,さっちゅうざい
殺風景,さっぷうけい
寂しい,さび
五月雨,さみだれ
皿洗い,さらあらい
再来月,さらいげつ
再来週,さらいしゅう
再来年,さらいねん
爽やか,さわやか
三回忌,さんかいき
三角形,さんかくけい
参加者,さんかしゃ
三冠王,さんかんおう
三冠馬,さんかんば
三が日,さんがにち
参議院,さんぎいん
産業界,さんぎょうかい
参考書,さんこうしょ
参事官,さんじかん
３次元,さんじげん
３１日,さんじゅういちにち
三重殺,さんじゅうさつ
三重奏,さんじゅうそう
３０日,さんじゅうにち
参政権,さんせいけん
三段目,さんだんめ
賛美歌,さんびか
三拍子,さんびょうし
三部作,さんぶさく
散文詩,さんぶんし
三枚目,さんまいめ
産油国,さんゆこく
三輪車,さんりんしゃ
三塁手,さんるいしゅ
三塁打,さんるいだ
財政難,ざいせいなん
財務官,ざいむかん
座談会,ざだんかい
座標軸,ざひょうじく
座布団,ざぶとん
仕上げ,しあ
仕入れ,しい
仕打ち,しう
塩辛い,しおからい
塩漬け,しおづけ
塩焼き,しおやき
歯科医,しかい
司会者,しかいしゃ
四角い,しかく
仕掛け,しか
紫外線,しがいせん
市街地,しがいち
私企業,しきぎょう
式次第,しきしだい
指揮者,しきしゃ
識字率,しきじりつ
指揮棒,しきぼう
敷き物,しきもの
始球式,しきゅうしき
頻りに,しきり
試金石,しきんせき
市議会,しぎかい
死刑囚,しけいしゅう
試験管,しけんかん
試験場,しけんじょう
試験的,しけんてき
子午線,しごせん
仕事柄,しごとがら
仕事師,しごとし
仕事中,しごとちゅう
仕事場,しごとば
四死球,ししきゅう
獅子舞,ししまい
思春期,ししゅんき
死傷者,ししょうしゃ
私小説,ししょうせつ
私書箱,ししょばこ
四重奏,しじゅうそう
静けさ,しずけさ
私生活,しせいかつ
私生児,しせいじ
自然界,しぜんかい
下請け,したうけ
下書き,したがき
従って,したが
舌触り,したざわり
親しい,したしい
親しみ,したしみ
下敷き,したじき
下っ腹,したっぱら
下積み,したづみ
仕立て,した
下働き,したばたらき
下回り,したまわり
下向き,したむき
次第に,しだい
仕出し,しだし
七回忌,しちかいき
七五三,しちごさん
七七日,しちしちにち
七福神,しちふくじん
七面鳥,しちめんちょう
視聴覚,しちょうかく
視聴者,しちょうしゃ
市町村,しちょうそん
視聴率,しちょうりつ
執行部,しっこうぶ
失敗談,しっぱいだん
執拗い,しつこい
失語症,しつごしょう
室内楽,しつないがく
仕手株,してかぶ
支店長,してんちょう
四天王,してんのう
淑やか,しと
指導者,しどうしゃ
品切れ,しなぎれ
品定め,しなさだ
死に体,しにたい
死の灰,しのはい
支配的,しはいてき
支配人,しはいにん
四半期,しはんき
縛り首,しばりくび
渋り腹,しぶりばら
私文書,しぶんしょ
司法権,しほうけん
資本家,しほんか
資本金,しほんきん
資本財,しほんざい
脂肪酸,しぼうさん
死亡者,しぼうしゃ
死亡率,しぼうりつ
始末書,しまつしょ
市民権,しみんけん
仕向け,しむ
湿り気,しめりけ
下半期,しもはんき
霜降り,しもふ
謝恩会,しゃおんかい
社会科,しゃかいか
社会学,しゃかいがく
社会人,しゃかいじん
社会性,しゃかいせい
社会的,しゃかいてき
社会党,しゃかいとう
社会面,しゃかいめん
借家人,しゃくやにん
社交界,しゃこうかい
射幸心,しゃこうしん
社交性,しゃこうせい
社交的,しゃこうてき
写真家,しゃしんか
写真機,しゃしんき
写真集,しゃしんしゅう
写真屋,しゃしんや
遮断器,しゃだんき
遮断機,しゃだんき
社内報,しゃないほう
三味線,しゃみせん
社民党,しゃみんとう
市役所,しやくしょ
趣意書,しゅいしょ
週明け,しゅうあけ
週刊誌,しゅうかんし
宗教家,しゅうきょうか
衆議院,しゅうぎいん
終止符,しゅうしふ
州政府,しゅうせいふ
集大成,しゅうたいせい
終着駅,しゅうちゃくえき
集中力,しゅうちゅうりょく
終電車,しゅうでんしゃ
修道院,しゅうどういん
収入役,しゅうにゅうやく
周波数,しゅうはすう
収容所,しゅうようじょ
終了後,しゅうりょうご
主観的,しゅかんてき
主義者,しゅぎしゃ
縮刷版,しゅくさつばん
主計局,しゅけいきょく
修験道,しゅげんどう
守護神,しゅごじん
主治医,しゅじい
主人公,しゅじんこう
主成分,しゅせいぶん
主税局,しゅぜいきょく
主体的,しゅたいてき
出身者,しゅっしんしゃ
出身地,しゅっしんち
出席者,しゅっせきしゃ
出世作,しゅっせさく
出張所,しゅっちょうじょ
出版社,しゅっぱんしゃ
出版物,しゅっぱんぶつ
出版元,しゅっぱんもと
出土品,しゅつどひん
首都圏,しゅとけん
主導権,しゅどうけん
首脳部,しゅのうぶ
修羅場,しゅらば
小宇宙,しょううちゅう
紹介者,しょうかいしゃ
紹介状,しょうかいじょう
紹介文,しょうかいぶん
消火器,しょうかき
消化器,しょうかき
商慣習,しょうかんしゅう
障害者,しょうがいしゃ
奨学金,しょうがくきん
小学生,しょうがくせい
小学校,しょうがっこう
小規模,しょうきぼ
消極的,しょうきょくてき
将軍家,しょうぐんけ
衝撃波,しょうげきは
商工業,しょうこうぎょう
症候群,しょうこうぐん
小冊子,しょうさっし
小市民,しょうしみん
消臭剤,しょうしゅうざい
小数点,しょうすうてん
小説家,しょうせつか
消息筋,しょうそくすじ
松竹梅,しょうちくばい
象徴的,しょうちょうてき
商店街,しょうてんがい
証取法,しょうとりほう
小児科,しょうにか
小児病,しょうにびょう
鍾乳洞,しょうにゅうどう
少年院,しょうねんいん
少年団,しょうねんだん
正念場,しょうねんば
商売人,しょうばいにん
消費財,しょうひざい
消費者,しょうひしゃ
消費税,しょうひぜい
商品券,しょうひんけん
商品名,しょうひんめい
勝負師,しょうぶし
消防士,しょうぼうし
消防車,しょうぼうしゃ
消防署,しょうぼうしょ
消防庁,しょうぼうちょう
証明書,しょうめいしょ
消耗品,しょうもうひん
将来性,しょうらいせい
将来像,しょうらいぞう
将来的,しょうらいてき
小惑星,しょうわくせい
書記官,しょきかん
書記局,しょききょく
職業病,しょくぎょうびょう
食事時,しょくじどき
食生活,しょくせいかつ
食中毒,しょくちゅうどく
植物園,しょくぶつえん
植物油,しょくぶつゆ
植民地,しょくみんち
食糧庁,しょくりょうちょう
食料品,しょくりょうひん
食パン,しょく
所在地,しょざいち
書誌学,しょしがく
初心者,しょしんしゃ
初対面,しょたいめん
食管法,しょっかんほう
所得税,しょとくぜい
初任給,しょにんきゅう
処方箋,しょほうせん
庶民的,しょみんてき
所有権,しょゆうけん
所有者,しょゆうしゃ
使用者,しようしゃ
仕様書,しようしょ
使用人,しようにん
使用料,しようりょう
知らせ,しらせ
不知火,しらぬい
白百合,しらゆり
司令官,しれいかん
司令部,しれいぶ
白装束,しろしょうぞく
白バイ,しろ
進化論,しんかろん
新刊書,しんかんしょ
新幹線,しんかんせん
新概念,しんがいねん
新学期,しんがっき
神学校,しんがっこう
新機軸,しんきじく
蜃気楼,しんきろう
親近感,しんきんかん
真空管,しんくうかん
神経科,しんけいか
神経学,しんけいがく
神経系,しんけいけい
神経質,しんけいしつ
神経症,しんけいしょう
神経戦,しんけいせん
神経痛,しんけいつう
申告書,しんこくしょ
信号機,しんごうき
診察室,しんさつしつ
紳士的,しんしてき
身障者,しんしょうしゃ
新商品,しんしょうひん
紳士録,しんしろく
心身症,しんしんしょう
真実味,しんじつみ
新生活,しんせいかつ
新生児,しんせいじ
新成人,しんせいじん
新製品,しんせいひん
新世界,しんせかい
心臓病,しんぞうびょう
進駐軍,しんちゅうぐん
心電図,しんでんず
信任状,しんにんじょう
新発売,しんはつばい
心拍数,しんぱくすう
神秘的,しんぴてき
心不全,しんふぜん
新聞紙,しんぶんし
新聞社,しんぶんしゃ
進歩的,しんぽてき
針葉樹,しんようじゅ
信用状,しんようじょう
信頼性,しんらいせい
心理学,しんりがく
心理的,しんりてき
診療所,しんりょうしょ
地合い,じあい
爺さん,じいさん
自意識,じいしき
自衛官,じえいかん
自営業,じえいぎょう
自衛隊,じえいたい
自家用,じかよう
時間給,じかんきゅう
時間帯,じかんたい
時間割,じかんわり
自画像,じがぞう
事業化,じぎょうか
事業家,じぎょうか
事業所,じぎょうしょ
軸受け,じくうけ
時刻表,じこくひょう
自己流,じこりゅう
自作農,じさくのう
自主的,じしゅてき
地震学,じしんがく
事実上,じじつじょう
自叙伝,じじょでん
地滑り,じすべり
自責点,じせきてん
時節柄,じせつがら
持続的,じぞくてき
時代劇,じだいげき
時代物,じだいもの
自治権,じちけん
自治省,じちしょう
自治体,じちたい
自治領,じちりょう
地鎮祭,じちんさい
実験室,じっけんしつ
実際的,じっさいてき
実際は,じっさいは
実質的,じっしつてき
実社会,じっしゃかい
実証的,じっしょうてき
実生活,じっせいかつ
実業家,じつぎょうか
地続き,じつづき
実物大,じつぶつだい
実用的,じつようてき
字詰め,じづめ
自転車,じてんしゃ
自動化,じどうか
自動車,じどうしゃ
自動的,じどうてき
地鳴り,じなり
自発的,じはつてき
