抗菌	こうきん	antibacterial, antimicrobial	adjective|noun|taking の|な adjective	
抗議	こうぎ	protest, objection	adjective|intransitive verb|n1|noun|taking する|taking の|transitive verb	
折々	おりおり	occasionally, now and then, from time to time	adverb	
折る	おる	to break, to fracture, to break off, to snap off, to pick (e.g. flowers), to fold, to bend, to make (origami), to interrupt, to end	godan verb|n4|transitive verb	
折半	せっぱん	halving, splitting evenly, sharing equally	noun|taking する|transitive verb	
折衝	せっしょう	negotiation	noun|taking する|transitive verb	
折衷	せっちゅう	compromise, cross, blending, eclecticism	adjective|n1|noun|taking する|taking の|transitive verb	
折角	せっかく	with trouble, at great pains, rare, valuable, precious, long-awaited, kind, generous, specially, especially, expressly	adjective|adverb|kana|n2|noun|taking の	
抜き	ぬき	leaving out, omitting, skipping, dispensing with, (beating) in succession, in a row	noun|suffix	
抜く	ぬく	to pull out, to draw out, to extract, to unplug, to weed, to omit, to leave out, to go without, to skip, to do to the end, to carry through, to let out (e.g. air from a tyre), to drain (e.g. water from a bath), to empty, to pick out, to choose, to select, to extract, to pilfer, to steal, to remove, to get rid of, to take out, to pass, to overtake, to outstrip, to get ahead of, to pierce, to break through, to go through, to cut out (a shape), to create (a pattern) by dying the surrounding area, to seize, to capture, to reduce, to scoop (a story), to take out (an opponents stones; in go), to masturbate (of a male), to ejaculate (while masturbating), to take (a photo), to record (video)	auxiliary verb|expression|godan verb|n3|slang|transitive verb	
抜擢	ばってき	selection (from many people for an important position), exceptional promotion	noun|taking する|transitive verb	
抜粋	ばっすい	extract, excerpt, selection	adjective|noun|taking する|taking の|transitive verb	
抜群	ばつぐん	outstanding, excellent, exceptional, distinguished, unrivaled, surpassing (e.g. beauty), beyond compare	adjective|noun|taking の|な adjective	
択一	たくいつ	choosing one from among several, multiple choice	noun	
披瀝	ひれき	expressing ones opinion, speaking ones mind, making known, revealing	noun|taking する|transitive verb	
披露	ひろう	announcement, presentation, demonstration, displaying, showing, introducing, unveiling, revealing, performing	noun|taking する|transitive verb	
抱え	かかえ	armful, employee	noun	
抱く	いだく	to hold in ones arms (e.g. a baby), to embrace, to hug, to have (a thought or feeling), to hold, to harbour (suspicion, doubt, etc.), to harbor, to bear (a grudge, ill will, etc.), to entertain (hope, illusions, etc.), to cherish (e.g. an ambition)	formal|godan verb|n3|transitive verb	
抱く	だく	to hold in ones arms (e.g. a baby), to embrace, to hug, to have sex with, to make love to, to sleep with, to sit on (eggs), to brood	godan verb|transitive verb	
抱擁	ほうよう	embrace, hug, holding in ones arms	noun|taking する|transitive verb	
抱負	ほうふ	aspiration, ambition, plan, hopes, wishes	noun	
抵当	ていとう	mortgage, security, hypothec, pledge	adjective|noun|taking の	
抵抗	ていこう	resistance, opposition, standing up to, reluctance, repulsion, repugnance, resistance, drag, friction, electrical resistance, resistor	intransitive verb|n3|noun|taking する|transitive verb	
抵触	ていしょく	infringement (of a law, treaty, etc.), contravention, running afoul, conflict (with a theory, claim, etc.), inconsistency, incompatibility, contradiction, collision, contact, touching	intransitive verb|noun|taking する|transitive verb	
抹殺	まっさつ	erasure, obliteration, denial, ignoring (an opinion)	noun|taking する|transitive verb	
抹消	まっしょう	erasure, striking off, crossing out, cancellation, deletion	noun|taking する|transitive verb	
抹茶	まっちゃ	matcha, powdered green tea	noun	
押し	おし	push, pushing, weight, pressure, authority, forcefulness, boldness, audacity, persistence, to forcibly ..., to strongly ...	noun|prefix	
押す	おす	to push, to press, to apply pressure from above, to press down, to stamp (i.e. a passport), to apply a seal, to affix (e.g. gold leaf), to press (someone for something), to urge, to compel, to influence, to overwhelm, to overpower, to repress, to push (events along), to advance (a plan), to do in spite of ..., to do even though ..., to force, to make sure, to be pressed for time, to advance troops, to attack, (of light) to be diffused across an entire surface	godan verb|n5|transitive verb	
押印	おういん	affixing a seal (to), putting ones seal (on)	intransitive verb|noun|taking する|transitive verb	
押収	おうしゅう	seizure, confiscation	adjective|noun|taking する|taking の|transitive verb	
押捺	おうなつ	stamping, impressing, affixing a seal	intransitive verb|noun|taking する|transitive verb	
抽出	ちゅうしゅつ	extraction, abstraction, selection (from a group), sampling	noun|taking する|transitive verb	
抽象	ちゅうしょう	abstraction	n2|noun|taking する|transitive verb	
抽選	ちゅうせん	lottery, raffle, drawing (of lots)	intransitive verb|n1|noun|taking する|transitive verb	
担う	になう	to carry on ones shoulder, to shoulder, to bear, to bear (burden, responsibility, etc.), to take upon oneself	godan verb|n1|transitive verb	
担ぎ	かつぎ	carrier	noun	
担ぐ	かつぐ	to shoulder, to carry on ones shoulder, to nominate for a position, to choose as a representative, to take (someone) for a ride, to deceive, to take in, to be caught up in superstition	godan verb|n2|transitive verb	
担任	たんにん	being in charge of (esp. a class or subject), taking charge of, class teacher, homeroom teacher, form teacher	noun|taking する|transitive verb	
担保	たんぽ	security, guarantee, collateral (e.g. mortgage)	adjective|noun|taking する|taking の	
担当	たんとう	being in charge (of an area of responsibility), being responsible (for a work role, etc.)	n3|noun|taking する|transitive verb	
担架	たんか	stretcher, litter (medical), gurney	n1|noun	
拉丁	ラテン	Latin (language), Latin-American, Latin, Latino, Latin (i.e. relating to the literature, culture, etc. of ancient Rome), Roman	adjective|kana|noun	
拉麺	ラーメン	ramen, Chinese-style noodles	kana|noun	
拍子	ひょうし	(musical) time, tempo, beat, rhythm, the moment, the instance, chance	noun	
拍手	はくしゅ	clapping hands, applause, clapping ones hands in prayer (at a shrine)	intransitive verb|n3|noun|taking する|transitive verb	
拍車	はくしゃ	(riding) spur, spurring on, acceleration, impetus	noun	
拒む	こばむ	to refuse, to reject, to decline, to prevent (from doing), to deny (e.g. access), to block	godan verb|transitive verb	
拒否	きょひ	refusal, rejection, denial, veto	n1|noun|taking する|transitive verb	
拒絶	きょぜつ	refusal, rejection	n1|noun|taking する|transitive verb	
拓本	たくほん	rubbed copy, folio of rubbings	noun	
拓殖	たくしょく	colonization, colonisation, development, settlement, exploitation	intransitive verb|noun|taking する|transitive verb	
拘る	こだわる	to be obsessive (about), to be overly concerned (with), to fuss (over), to worry too much (about), to be picky (about), to be hung up (on), to stick to, to be particular (about), to pay special attention (to), to be fastidious (about), to insist (on), to be uncompromising, to get stuck, to be obstructed	godan verb|intransitive verb|kana|n1|transitive verb	
拘束	こうそく	restriction, restraint, binding, constraint	n1|noun|taking する|transitive verb	
拘留	こうりゅう	custody, detention, confinement	noun|taking する|transitive verb	
拘禁	こうきん	detention, custody, confinement, internment	noun|taking する|transitive verb	
拘置	こうち	detention, confinement, arrest	noun|taking する|transitive verb	
拙劣	せつれつ	clumsy, unskillful	adjective|noun|な adjective	
拙守	せっしゅ	poor defense, poor defence	noun	
拙速	せっそく	rough-and-ready, knocked-up, hasty, slipshod, slapdash	adjective|noun|な adjective	
招き	まねき	invitation	n1|noun	
招く	まねく	to invite, to ask, to beckon, to wave someone in, to gesture to, to call in, to send for, to summon, to bring on oneself, to cause, to incur, to lead to, to result in	godan verb|n3|transitive verb	
招待	しょうたい	invitation	adjective|n3|noun|taking する|taking の|transitive verb	
招聘	しょうへい	(courteous) invitation, call	noun|taking する|transitive verb	
招致	しょうち	invitation, summons, bidding (e.g. to host the Olympics), calling	noun|taking する|transitive verb	
招請	しょうせい	invitation	noun|taking する|transitive verb	
招集	しょうしゅう	call, summons, convening, convocation	noun|taking する|transitive verb	
拝む	おがむ	to assume the posture of praying, to press the palms and fingers of both hands together, to do reverence (e.g. before a statue of the Buddha), to pay ones respects, to beg, to make a supplication, to see (something or someone of high status)	godan verb|humble|n2|transitive verb	
拝借	はいしゃく	borrowing	humble|n1|noun|polite|taking する|transitive verb	
拝啓	はいけい	Dear (so and so), Dear Sir, Dear Madam, To Whom It May Concern	n1|noun	
拝殿	はいでん	front shrine, hall of worship	noun	
拝礼	はいれい	worship	intransitive verb|noun|taking する|transitive verb	
拝見	はいけん	seeing, looking at	humble|n4|noun|polite|taking する|transitive verb	
拝観	はいかん	see, inspect, visit	noun|taking する|transitive verb	
拝金	はいきん	money-worship, mammon-worship	noun	
拠出	きょしゅつ	donation, contribution	noun|taking する|transitive verb	
拠点	きょてん	position, location, base, point, site	noun	
拡充	かくじゅう	expansion	n2|noun|taking する|transitive verb	
拡大	かくだい	expansion, extension, magnification, enlargement, escalation, spread	intransitive verb|n3|noun|taking する|transitive verb	
拡張	かくちょう	expansion, extension, enlargement, escape, ESC	computing|n2|noun|taking する|transitive verb	
拡散	かくさん	spreading, disseminating, scattering, diffusion (of light, gas)	intransitive verb|n1|noun|taking する|transitive verb	
括る	くくる	to tie up, to tie together, to bind, to bundle, to fasten, to hang (oneself), to summarize, to put (it all) together, to consolidate, to estimate, to expect, to tie-dye, to detain, to check, to restrain	godan verb|kana|transitive verb	
括弧	かっこ	brackets, parentheses	kana|n2|noun|taking する|transitive verb	
拭う	ぬぐう	to wipe, to mop up, to get rid of (an impression, feeling, blemish, etc.), to dispel (e.g. shame), to erase, to remove	godan verb|transitive verb	
拭く	ふく	to wipe, to dry	godan verb|n2|transitive verb	
拮抗	きっこう	rivalry (between two equally strong sides), struggle for supremacy, competing (with), vying (with), contending (with), being an equal match (for)	intransitive verb|noun|taking する|transitive verb	
拳法	けんぽう	Chinese martial arts, kung fu, wushu, quanfa, kenpō (martial arts), kempo	noun	
拳銃	けんじゅう	pistol, handgun, revolver	noun	
拳骨	げんこつ	(clenched) fist, knuckles	kana|noun|taking する	
拷問	ごうもん	torture	noun|taking する|transitive verb	
拾う	ひろう	to pick up, to gather, to find (and pick up; something someone has dropped), to select, to choose, to pick out, to get (unexpectedly), to hit upon (luck, an opportunity, etc.), to snatch (an unexpected victory), to pull off, to pick up (someone in a car), to flag down (a taxi), to hail, to pick up (a signal, sound, interference, etc.), to (just manage to) return (the ball), to return (a difficult shot), to take on (someone in adverse circumstances), to employ, to give a job, to take in, to walk, to go on foot	godan verb|n4|transitive verb	
拾得	しゅうとく	finding (lost property), picking up	noun|taking する|transitive verb	
持ち	もち	having, holding, possessing, owning, using, holder, owner, user, wear, durability, life, charge, expense, draw (in go, poetry contest, etc.), tie	formal|n1|noun	
持つ	もつ	to hold (in ones hand), to take, to carry, to possess, to have, to own, to maintain, to keep, to last, to be durable, to keep, to survive, to take charge of, to be in charge of, to hold (meeting, etc.), to have (opportunity, etc.), to have it, to have that special something, to be blessed with good luck	colloquial|godan verb|n5|transitive verb	
持久	じきゅう	endurance, persistence	noun|taking する	
持参	じさん	bringing, taking, carrying	n2|noun|taking する|transitive verb	
持病	じびょう	chronic disease, bad habit, intractable habit	noun	
持続	じぞく	continuation, persisting, lasting, sustaining, enduring	intransitive verb|n1|noun|taking する|transitive verb	
持論	じろん	ones cherished opinion, pet theory	noun	
指す	さす	to point, to nominate, to select someone, to specify some person, to identify, to indicate, to point out, to play (a game of shogi), to move (a piece), to extend ones arm straight ahead (in dance)	godan verb|n3|transitive verb	
指令	しれい	orders, instructions, directive, command	n1|noun|taking する|transitive verb	
指先	ゆびさき	fingertip, finger, toe tip, toe	adjective|noun|taking の	
指南	しなん	instruction (in martial arts, performance, etc.), teaching, coaching	noun|taking する|transitive verb	
指名	しめい	naming, nominating, designating, calling on, asking for, requesting	noun|taking する|transitive verb	
指向	しこう	being orientated (towards), pointing (towards), directing (towards), directional (e.g. microphone), -oriented	adjective|noun|taking する|taking の	
指図	さしず	directions, instructions, orders, command	n1|noun|taking する|transitive verb	
指圧	しあつ	shiatsu, acupressure, form of Japanese finger-pressure therapy	noun|taking する|transitive verb	
指定	してい	designation, specification, assignment, appointment, pointing at	n2|noun|taking する|transitive verb	
指導	しどう	guidance, leadership, instruction, direction, coaching, shido (disciplinary action for a minor infringement of the rules of judo)	n3|noun|taking する|transitive verb	
指揮	しき	command, direction, supervision, conducting (an orchestra, choir, etc.)	n1|noun|taking する|transitive verb	
指摘	してき	pointing out, identification	n1|noun|taking する|transitive verb	
指数	しすう	index, index number, exponent (e.g. in floating-point representation), characteristic	noun	
指標	しひょう	index, indices, indicator	noun	
指示	しじ	indication, denotation, designation, instructions, directions	n1|noun|taking する|transitive verb	
指紋	しもん	fingerprint	noun	
指輪	ゆびわ	(finger) ring	n4|noun	
指針	ししん	needle (compass, gauge, etc.), hand (clock), indicator, pointer, index, guiding principle, guideline, guide	noun	
挑む	いどむ	to challenge to (a fight, game, etc.), to throw down the gauntlet, to contend for, to tackle (e.g. a problem), to attempt, to go after (a prize, record, etc.), to pressure (someone) for sex, to make advances to	godan verb|intransitive verb|n1|transitive verb	
挑戦	ちょうせん	challenge, defiance, dare, attempt, try	intransitive verb|n1|noun|taking する|transitive verb	
挑発	ちょうはつ	provocation, stirring up, arousal, excitement, stimulation	noun|taking する|transitive verb	
挙党	きょとう	whole party, party as a whole	noun	
挙動	きょどう	conduct, behavior, behaviour	noun	
挙句	あげく	after (a long process), at the end of, last line (of a renga)	adverb|noun	
挙国	きょこく	the whole nation	noun	
挙式	きょしき	holding a ceremony, wedding ceremony	intransitive verb|noun|taking する|transitive verb	
挙手	きょしゅ	raising ones hand, show of hands (e.g. for a vote), salute	intransitive verb|noun|taking する|transitive verb	
挙行	きょこう	celebration (of ceremony), solemnization (e.g. of a marriage), solemnisation	noun|taking する|transitive verb	
挟む	はさむ	to hold between (e.g. ones fingers, chopsticks), to grip (from both sides), to put between, to sandwich between, to insert, to interpose, to catch (e.g. a finger in a door), to trap, to pinch, to insert (e.g. a break into proceedings), to interpose (e.g. an objection), to interject, to throw in (e.g. a joke), to be on either side of (a road, table, etc.), to have between each other, to be across (a street, river, etc.), to harbour (feelings), to cast (e.g. doubt)	godan verb|n2|transitive verb	
挟殺	きょうさつ	rundown	noun|taking する	
挨拶	あいさつ	greeting, greetings, salutation, salute, condolences, congratulations, speech (congratulatory or appreciative), address, reply, response, revenge, retaliation, a fine thing to say, dialoging (with another Zen practitioner to ascertain their level of enlightenment), relationship (between people), connection, intervention, mediation, mediator	adjective|expression|noun|slang|taking する|taking の	
挫傷	ざしょう	sprain, wrench, bruise, contusion, fracture	noun|taking する	
挫折	ざせつ	setback, failure (e.g. plans, business), frustration, discouragement	intransitive verb|noun|taking する|transitive verb	
振り	ふり	swing, shake, wave, swinging, appearance, behaviour, pretence (pretense), show, pretending (to), going to restaurant, hotel etc. without a reservation or introduction, move (dance), postures, lead in (e.g. to a running joke, asking a question), lead up, unsewn part of a hanging sleeve on a traditional Japanese womans garment, counter for swords, blades, etc., not wearing underwear or pants	adjective|counter|kana|n1|noun|suffix|taking の	
振り	ぶり	style, manner, way, after (period of time) again (e.g. meeting again after a year), for the first time in (period of time)	kana|suffix	
振る	ふる	to wave, to shake, to swing, to sprinkle, to throw (dice), to cast (actor), to allocate (work), to turn down (someone), to reject, to jilt, to dump, to abandon, to give up, to ruin, to add kana indicating a reading of a word, to slightly change headings, to change directions, to extract by broiling, to prepare an infusion of, to decoct, to carry with great vigor (e.g. a portable shrine), to bring up a topic, to lead to a topic, to replace, to substitute, to set up a joke for someone else	godan verb|n3|transitive verb	
振動	しんどう	oscillation, vibration, swing (e.g. of a pendulum)	intransitive verb|n1|noun|taking する|transitive verb	
振幅	しんぷく	amplitude (of vibration), (degree of) instability, volatility, fluctuation, variation, swing	noun	
振替	ふりかえ	transfer, switching over, change, money transfer (usu. between accounts held by the same person), postal transfer	noun	
振興	しんこう	promotion, encouragement	intransitive verb|n1|noun|taking する|transitive verb	
振込	ふりこみ	payment made via bank deposit transfer, discarding a tile that becomes another players winning tile	noun	
挺身	ていしん	volunteer, volunteering	intransitive verb|noun|taking する|transitive verb	
挽歌	ばんか	elegy, funeral song	noun	
挿入	そうにゅう	insertion, incorporation, infixing	noun|taking する|transitive verb	
挿絵	さしえ	illustration (in a book, newspaper, etc.), picture	noun	
挿話	そうわ	episode, side story, story within a story, aside, anecdote	noun	
捏造	ねつぞう	fabrication, forgery, falsehood, hoax	noun|taking する|transitive verb	
捕る	とる	to catch (a wild animal, fish, insect, baseball, etc.), to capture	godan verb|n2|transitive verb	
捕手	ほしゅ	catcher	noun	
捕獲	ほかく	capture, seizure	n1|noun|taking する|transitive verb	
捕球	ほきゅう	catch	intransitive verb|noun|taking する|transitive verb	
捕虜	ほりょ	prisoner (of war), POW, captive	n1|noun	
捕逸	ほいつ	passed ball, catcher missing a ball	noun|taking する	
捕鯨	ほげい	whaling, whale hunting, whale fishing	n1|noun	
捗る	はかどる	to make (good) progress, to move right ahead (with the work), to advance	godan verb|intransitive verb|kana|n1|transitive verb	
捜査	そうさ	search (esp. in criminal investigations), investigation, inquiry, enquiry	adjective|n1|noun|taking する|taking の|transitive verb	
捜索	そうさく	search (esp. for someone or something missing), manhunt, legally authorized search of a person, building, etc.	n1|noun|taking する|transitive verb	
捥ぐ	もぐ	to pluck (esp. by twisting from a tree), to pick (e.g. apples)	godan verb|kana|transitive verb	
捩る	ねじる	to screw, to twist, to distort, to parody, to make a pun, to torture, to wrest	godan verb|kana|n2|transitive verb	
捲る	まくる	to turn up, to roll up (e.g. sleeves), to do over and over again, to do relentlessly, to do with reckless abandon, to do continuously, to stage a comeback (against) (in mahjong, horse racing, etc.), to come from behind	auxiliary verb|godan verb|kana|n1|slang|transitive verb	
捲る	めくる	to turn over, to turn (pages), to leaf through (a book, etc.), to tear off, to strip off, to take off, to pull off (e.g. a blanket), to pull up (e.g. floorboards), to tear up	godan verb|kana|transitive verb	
捻る	ひねる	to twist, to wrench, to turn (a switch on or off, etc.), to wring (a neck), to puzzle over, to defeat easily	godan verb|kana|n2|transitive verb	
捻挫	ねんざ	sprain, twist, wrench	intransitive verb|noun|taking する|transitive verb	
掃く	はく	to sweep, to brush, to clean, to gather silkworms	godan verb|n2|transitive verb	
掃射	そうしゃ	sweeping with fire, mowing down, strafing	noun|taking する|transitive verb	
掃海	そうかい	sweeping the sea for mines, dragging for mines	intransitive verb|noun|taking する|transitive verb	
掃討	そうとう	cleaning up, sweeping up, mopping up	noun|taking する|transitive verb	
掃除	そうじ	cleaning, sweeping, dusting, scrubbing	n5|noun|taking する|transitive verb	
授与	じゅよ	awarding, conferment, granting, presentation	noun|taking する|transitive verb	
授乳	じゅにゅう	breastfeeding, nursing, suckling	intransitive verb|noun|taking する|transitive verb	
授受	じゅじゅ	giving and receiving, transferring, transfer, changing hands	noun|taking する|transitive verb	
授業	じゅぎょう	lesson, class, teaching, instruction, classwork, schoolwork	intransitive verb|n5|noun|taking する|transitive verb	
授権	じゅけん	authorization, authorisation	noun|taking する|transitive verb	
授産	じゅさん	sheltered work programs, sheltered work programmes, providing with work, giving employment	noun	
授賞	じゅしょう	awarding a prize, prize-giving, giving an award	noun|taking する|transitive verb	
掌中	しょうちゅう	in the hand, (something) easily manipulated	noun	
掌握	しょうあく	grasping, seizing, holding, commanding, having control over	noun|taking する|transitive verb	
掏摸	すり	pickpocket	kana|n4|noun	
排他	はいた	exclusion	noun	
排便	はいべん	defecation	intransitive verb|noun|taking する|transitive verb	
排出	はいしゅつ	discharge, evacuation, emission (e.g. of CO2), ejection, excretion	noun|taking する|transitive verb	
排卵	はいらん	ovulation	adjective|intransitive verb|noun|taking する|taking の|transitive verb	
排外	はいがい	anti-foreign	noun	
排斥	はいせき	rejection, expulsion, boycott, ostracism	noun|taking する|transitive verb	
排日	はいにち	anti-Japanese	noun	
排気	はいき	exhaust, emission (of gas from an engine), expulsion (of air), ventilation	intransitive verb|noun|taking する|transitive verb	
排水	はいすい	drainage, draining, pumping out (water), sewerage, displacement	intransitive verb|n1|noun|taking する|transitive verb	
排泄	はいせつ	excretion	adjective|noun|taking する|taking の|transitive verb	
排煙	はいえん	smoke (dispersal)	noun|taking する	
排除	はいじょ	exclusion, removal, elimination, clearing away, getting rid of	n1|noun|taking する|transitive verb	
掘る	ほる	to dig, to excavate, to hollow, to delve into, to dig up (e.g. vegetables), (for two men) to have anal sex	expression|godan verb|n2|slang|transitive verb	
掘削	くっさく	digging out, excavation	noun|taking する|transitive verb	
掛け	かけ	credit, money owed on an account, bill, hanger, holder, rest, rack, peg, hook, stand, in the process of (doing), midway through, half-(done), on the verge of, just about to, hot noodles in broth, wholesale price as a proportion of the list price (in tenths)	kana|n1|noun|suffix	
採る	とる	to adopt (a method, proposal, etc.), to take (a measure, course of action, etc.), to decide on, to pick (e.g. flowers), to gather (e.g. mushrooms), to catch (e.g. insects), to extract (e.g. juice), to take (e.g. a sample), to assume (an attitude), to take on (workers, students), to employ, to hire, to draw in (e.g. water), to let in (e.g. light from a window)	godan verb|n2|transitive verb	
採光	さいこう	lighting	intransitive verb|noun|taking する|transitive verb	
採取	さいしゅ	picking, collecting, harvesting, gathering, extraction	noun|taking する|transitive verb	
採否	さいひ	adoption or rejection	noun	
採択	さいたく	adoption, selection, choice	n1|noun|taking する|transitive verb	
採掘	さいくつ	mining	n1|noun|taking する|transitive verb	
採決	さいけつ	vote, ballot, division	n1|noun|taking する|transitive verb	
採炭	さいたん	coal mining, coal extraction	intransitive verb|noun|taking する|transitive verb	
採点	さいてん	marking, grading, scoring	n2|noun|taking する|transitive verb	
採用	さいよう	use, adoption, acceptance, appointment, employment, engagement, recruitment	n1|noun|taking する|transitive verb	
採石	さいせき	quarrying	intransitive verb|noun|taking する|transitive verb	
採算	さいさん	profit	n1|noun	
採血	さいけつ	drawing blood, collecting blood	intransitive verb|noun|taking する|transitive verb	
採鉱	さいこう	mining	intransitive verb|noun|taking する|transitive verb	
採録	さいろく	recording, transcription	noun|taking する|transitive verb	
採集	さいしゅう	collecting, gathering	n1|noun|taking する|transitive verb	
探す	さがす	to search for, to look for, to hunt for, to seek, to search (a house, pocket, etc.), to search through, to rummage in (e.g. a drawer), to fish around	godan verb|n4|transitive verb	
探り	さぐり	sounding, probing, probe, stylet, spy	noun	
探る	さぐる	to feel around for, to fumble for, to grope for, to search for, to look for, to investigate, to probe into, to spy on, to sound out, to explore (parts unknown), to enjoy (natural beauty)	godan verb|n2|transitive verb	
探偵	たんてい	detective, investigator, sleuth, detective work, secret investigation	noun|taking する|transitive verb	
探査	たんさ	probe, inquiry, enquiry, investigation	noun|taking する|transitive verb	
探検	たんけん	exploration, expedition	n1|noun|taking する|transitive verb	
探求	たんきゅう	search, quest, pursuit	noun|taking する|transitive verb	
探知	たんち	detection	noun|taking する|transitive verb	
探究	たんきゅう	research, investigation, enquiry, inquiry, study	noun|taking する|transitive verb	
探索	たんさく	search, lookup, hunt, (item of) research, exploration, investigation	noun|taking する|transitive verb	
探訪	たんぼう	searching, hunting for news story, journalist	noun|taking する|transitive verb	
探鉱	たんこう	mineral exploration	intransitive verb|noun|taking する|transitive verb	
接収	せっしゅう	requisition, requisitioning, seizure, confiscation, impounding, retaining (e.g. deposit)	noun|taking する|transitive verb	
接合	せつごう	union, joining, conjugation	intransitive verb|noun|taking する|transitive verb	
接吻	せっぷん	kiss, kissing	intransitive verb|noun|taking する|transitive verb	
接地	せっち	ground, earth, grounding, earthing, touching the ground, landing (an airplane)	noun|taking する	
接客	せっきゃく	serving customers, looking after visitors, reception	intransitive verb|noun|taking する|transitive verb	
接岸	せつがん	coming alongside a pier, quay, etc., reaching land (of a boat)	intransitive verb|noun|taking する|transitive verb	
接待	せったい	entertainment (of guests; esp. in the corporate world), treating (to food and drinks), wining and dining	noun|taking する|transitive verb	
接戦	せっせん	close contest, close match, close game, close race, close combat	intransitive verb|noun|taking する|transitive verb	
接点	せってん	tangent point, point of contact, contact (electrical, etc.), point of agreement, common ground, interaction	noun	
接着	せっちゃく	adhesion, glueing, gluing, bonding, binding, adhering, fastening	intransitive verb|noun|taking する|transitive verb	
接種	せっしゅ	inoculation, vaccination	noun|taking する|transitive verb	
接続	せつぞく	connection, attachment, union, join, joint, link, changing trains, conjunction	n2|noun|taking する	
接見	せっけん	(official) audience, interview, reception, meeting with ones lawyer (while detained or imprisoned)	intransitive verb|noun|taking する|transitive verb	
接触	せっしょく	touch, contact, touching	intransitive verb|n1|noun|taking する|transitive verb	
接近	せっきん	getting closer, drawing nearer, approaching, being not much different, being near (age, skill, etc.), becoming close (i.e. friendly), becoming intimate	intransitive verb|n2|noun|taking する|transitive verb	
控え	ひかえ	reserve, spare, backup, note, memorandum, duplicate, copy, stub (of a ticket, etc.), receipt, waiting ones turn	noun	
控訴	こうそ	appeal to a higher court, intermediate appeal	intransitive verb|noun|taking する|transitive verb	
控除	こうじょ	subtraction, deduction (e.g. tax), subsidy	n1|noun|taking する|transitive verb	
推す	おす	to recommend, to endorse (e.g. a candidate), to nominate, to support, to back, to infer (from), to deduce, to gather, to conjecture, to surmise, to think (something) through, to ponder deeply	godan verb|transitive verb	
推力	すいりょく	thrust, driving force, propulsion	noun	
推奨	すいしょう	recommendation, endorsement	noun|taking する|transitive verb	
推定	すいてい	presumption, assumption, estimation	adjective|n2|noun|taking する|taking の|transitive verb	
推察	すいさつ	guess, conjecture, surmise	noun|taking する|transitive verb	
推挙	すいきょ	recommendation (of a person for a position), nomination	noun|taking する|transitive verb	
推敲	すいこう	polishing (a piece of writing), improvement, revision, refinement	noun|taking する|transitive verb	
推測	すいそく	guess, conjecture	adjective|n1|noun|taking する|taking の|transitive verb	
推理	すいり	reasoning, inference, deduction, mystery genre, detective genre	n1|noun|taking する|transitive verb	
推移	すいい	transition, change, progress, development, shift, passing (of time)	intransitive verb|noun|taking する|transitive verb	
推薦	すいせん	recommendation, referral, endorsement	adjective|n3|noun|taking する|taking の|transitive verb	
推計	すいけい	estimate, estimation	noun|taking する|transitive verb	
推論	すいろん	inference, deduction, induction, reasoning	adjective|noun|taking する|taking の|transitive verb	
推進	すいしん	propulsion, drive, promotion (of a policy, project, movement, etc.), furtherance, advancement, pushing forward	n1|noun|taking する|transitive verb	
推量	すいりょう	guess, conjecture, supposition, inference	noun|taking する|transitive verb	
措置	そち	measure, step, action	n1|noun|taking する|transitive verb	
掬う	すくう	to scoop, to ladle out	godan verb|kana|n1|transitive verb	
掲揚	けいよう	hoisting (e.g. a flag), raising, flying, putting up	noun|taking する|transitive verb	
掲示	けいじ	notice, bulletin, post, posting, placard	n3|noun|taking する|transitive verb	
掲載	けいさい	publication (e.g. of an article in a newspaper), carrying (e.g. a story), running (e.g. a serial), insertion (e.g. of an advertisement), printing, posting (e.g. on the web)	n1|noun|taking する|transitive verb	
掴む	つかむ	to seize, to catch, to grasp, to grip, to grab, to clutch, to hold, to catch hold of, to lay ones hands on, to obtain, to acquire, to get, to win, to capture, to understand, to grasp, to comprehend	godan verb|kana|n3|transitive verb	
掻く	かく	to scratch, to perspire, to shovel, to paddle	godan verb|kana|n2|transitive verb	
揃う	そろう	to be complete, to be all present, to make a full set, to be satisfied (of conditions), to be equal, to be uniform, to be even, to match, to agree, to gather, to assemble, to be collected	godan verb|intransitive verb|n2|transitive verb	
揉む	もむ	to rub, to crumple, to massage, to argue, to have a heated discussion, to train, to coach, to jostle, to crowd, to shake, to rock, to have various experiences (out in the world)	godan verb|kana|n2|transitive verb	
描く	えがく	to draw, to paint, to sketch, to depict, to describe, to picture in ones mind, to imagine, to form a certain shape (e.g. path of an action, appearance of an object, etc.)	godan verb|n3|transitive verb	
描写	びょうしゃ	depiction, description, portrayal	n1|noun|taking する|transitive verb	
提供	ていきょう	offer, tender, providing, supplying, making available, donating (blood, organs, etc.), sponsoring (a TV program)	n1|noun|taking する|transitive verb	
提出	ていしゅつ	presentation (of documents), submission (of an application, report, etc.), production (e.g. of evidence), introduction (e.g. of a bill), filing, turning in	n3|noun|taking する|transitive verb	
提唱	ていしょう	advocacy, proposal	noun|taking する|transitive verb	
提携	ていけい	cooperation, tie-up, joint business, partnership, alliance, sponsorship	intransitive verb|n1|noun|taking する|transitive verb	
提案	ていあん	proposal, proposition, suggestion	n3|noun|taking する|transitive verb	
提灯	ちょうちん	paper lantern, Chinese lantern, Japanese lantern	noun	
提督	ていとく	admiral, commodore	noun	
