新型コロナウイルス感染症,しんがたコロナウイルスかんせんしょう
及び腰,およびごし
及ぼさ,およぼ
及ぼし,およぼ
及ぼす,およぼ
及ぼせ,およぼ
及ぼそ,およぼ
友禅染,ゆうぜんぞめ
友釣り,ともづり
双生児,そうせいじ
双眼鏡,そうがんきょう
反する,はんする
反体制,はんたいせい
反作用,はんさよう
反対側,はんたいがわ
反射的,はんしゃてき
反射鏡,はんしゃきょう
反抗期,はんこうき
反抗的,はんこうてき
反比例,はんぴれい
反陽子,はんようし
収まっ,おさま
収まら,おさま
収まり,おさま
収まる,おさま
収まれ,おさま
収まろ,おさま
収めさ,おさ
収めず,おさ
収めた,おさ
収めて,おさ
収めな,おさ
収めま,おさ
収めよ,おさ
収めら,おさ
収める,おさ
収めろ,おさ
収入役,しゅうにゅうやく
収容所,しゅうようじょ
取って,と
取っ手,とって
取り分,とりぶん
取り口,とりくち
取り方,とりかた
取り柄,とりえ
取れさ,と
取れず,と
取れた,と
取れて,と
取れな,と
取れま,と
取れよ,と
取れら,と
取れる,と
取れろ,と
取引先,とりひきさき
取次店,とりつぎてん
取締役,とりしまりやく
取締法,とりしまりほう
受かっ,うか
受から,うか
受かり,うか
受かる,うか
受かれ,うか
受かろ,うか
受けさ,う
受けず,う
受けた,う
受けて,う
受けな,う
受けま,う
受けよ,う
受けら,う
受ける,う
受けろ,う
受け皿,うけざら
受付中,うけつけちゅう
受信機,じゅしんき
受信者,じゅしんしゃ
受動的,じゅどうてき
受取り,うけと
受取人,うけとりにん
受精卵,じゅせいらん
受話器,じゅわき
叙事詩,じょじし
叙利亜,シリア
叢立ち,そうだち
口々に,くちぐちに
口ぶり,くちぶり
口コミ,くちコミ
口上書,こうじょうしょ
口内炎,こうないえん
口出し,くちだし
口切り,くちき
口利き,くちきき
口喧嘩,くちげんか
口止め,くちどめ
口添え,くちぞえ
口煩い,くちうるさい
口答え,くちごたえ
口約束,くちやくそく
口説い,くど
口説え,くど
口説か,くど
口説き,くど
口説く,くど
口説け,くど
口走っ,くちばし
口走ら,くちばし
口走り,くちばし
口走る,くちばし
口走れ,くちばし
口走ろ,くちばし
古びさ,ふる
古びず,ふる
古びた,ふる
古びて,ふる
古びな,ふる
古びま,ふる
古びよ,ふる
古びら,ふる
古びる,ふる
古びろ,ふる
古典的,こてんてき
古文書,こもんじょ
古本屋,ふるほんや
古生物,こせいぶつ
古臭い,ふるくさい
句読点,くとうてん
叩おう,たた
叫び声,さけびごえ
可処分,かしょぶん
可及的,かきゅうてき
可哀想,かわいそう
可愛い,かわい
可燃性,かねんせい
可燃物,かねんぶつ
可能性,かのうせい
台無し,だいな
右中間,うちゅうかん
右利き,みぎきき
右四つ,みぎよつ
叶えさ,かな
叶えず,かな
叶えた,かな
叶えて,かな
叶えな,かな
叶えま,かな
叶えよ,かな
叶えら,かな
叶える,かな
叶えろ,かな
司令官,しれいかん
司令部,しれいぶ
司会者,しかいしゃ
司法権,しほうけん
合せさ,あわせ
合せず,あわせ
合せた,あわせ
合せて,あわせ
合せな,あわせ
合せま,あわせ
合せよ,あわせ
合せら,あわせ
合せる,あわせ
合せろ,あわせ
合わさ,あわ
合わし,あわ
合わす,あわ
合わせ,あわ
合わそ,あわ
合併症,がっぺいしょう
合唱団,がっしょうだん
合成語,ごうせいご
合気道,あいきどう
合法的,ごうほうてき
合理化,ごうりか
合理的,ごうりてき
合衆国,がっしゅうこく
合言葉,あいことば
吊るさ,つる
吊るし,つる
吊るす,つる
吊るせ,つる
吊るそ,つる
同い年,おないどし
同じく,おなじ
同じさ,おな
同じず,おな
同じた,おな
同じて,おな
同じな,おな
同じま,おな
同じよ,おな
同じら,おな
同じる,おな
同じろ,おな
同伴者,どうはんしゃ
同心円,どうしんえん
同性愛,どうせいあい
同時に,どうじに
同時代,どうじだい
同窓会,どうそうかい
同級生,どうきゅうせい
同義語,どうぎご
名乗っ,なの
名乗ら,なの
名乗り,なの
名乗る,なの
名乗れ,なの
名乗ろ,なの
名人芸,めいじんげい
名古屋,なごや
名指し,なざし
名誉職,めいよしょく
名高い,なだかい
吐おう,は
吐き気,はきけ
向い風,むかいかぜ
向おう,む
向かい,むか
向かう,むか
向かえ,むか
向かお,むか
向かっ,むか
向かわ,むか
向けさ,む
向けず,む
向けた,む
向けて,む
向けな,む
向けま,む
向けよ,む
向けら,む
向ける,む
向けろ,む
向こう,むこう
向学心,こうがくしん
君が代,きみがよ
君たち,きみた
吟醸酒,ぎんじょうしゅ
吠えさ,ほ
吠えず,ほ
吠えた,ほ
吠えて,ほ
吠えな,ほ
吠えま,ほ
吠えよ,ほ
吠えら,ほ
吠える,ほ
吠えろ,ほ
含めさ,ふく
含めず,ふく
含めた,ふく
含めて,ふく
含めな,ふく
含めま,ふく
含めよ,ふく
含めら,ふく
含める,ふく
含めろ,ふく
吸い殻,すいがら
吸い物,すいもの
吸水性,きゅうすいせい
吸血鬼,きゅうけつき
吹おう,ふ
吹かさ,ふか
吹かし,ふか
吹かす,ふか
吹かせ,ふか
吹かそ,ふか
吹奏楽,すいそうがく
呆けさ,ぼ
呆けず,ぼ
呆けた,ぼ
呆けて,ぼ
呆けな,ぼ
呆けま,ぼ
呆けよ,ぼ
呆けら,ぼ
呆ける,ぼ
呆けろ,ぼ
呆れさ,あき
呆れず,あき
呆れた,あき
呆れて,あき
呆れな,あき
呆れま,あき
呆れよ,あき
呆れら,あき
呆れる,あき
呆れろ,あき
呉れさ,く
呉れず,く
呉れた,く
呉れて,く
呉れな,く
呉れま,く
呉れよ,く
呉れら,く
呉れる,く
呉れろ,く
告げさ,つ
告げず,つ
告げた,つ
告げて,つ
告げな,つ
告げま,つ
告げよ,つ
告げら,つ
告げる,つ
告げろ,つ
呟おう,つぶや
周波数,しゅうはすう
味の素,あじのもと
味わい,あじわ
味わう,あじわ
味わえ,あじわ
味わお,あじわ
味わっ,あじわ
味わわ,あじわ
味付け,あじつけ
味噌汁,みそしる
呼び名,よびな
呼び声,よびごえ
呼び水,よびみず
呼び物,よびもの
呼吸器,こきゅうき
命がけ,いのちが
命じさ,めい
命じず,めい
命じた,めい
命じて,めい
命じな,めい
命じま,めい
命じよ,めい
命じら,めい
命じる,めい
命じろ,めい
命ずる,めいずる
命取り,いのちと
命拾い,いのちびろ
咄嗟に,とっさに
和え物,あえもの
和やか,なごやか
和らい,やわ
和らえ,やわ
和らお,やわ
和らが,やわ
和らぎ,やわ
和らぐ,やわ
和らげ,やわ
和地関,バチカン
和菓子,わがし
咎めさ,とが
咎めず,とが
咎めた,とが
咎めて,とが
咎めな,とが
咎めま,とが
咎めよ,とが
咎めら,とが
咎める,とが
咎めろ,とが
咲おう,さ
哀れな,あわれ
哀れま,あわれ
哀れみ,あわれ
哀れむ,あわれ
哀れめ,あわれ
哀れん,あわれ
品切れ,しなぎれ
品定め,しなさだ
哲学的,てつがくてき
哺乳類,ほにゅうるい
唐揚げ,からあ
唐辛子,とうがらし
唯物論,ゆいぶつろん
唱えさ,とな
唱えず,とな
唱えた,とな
唱えて,とな
唱えな,とな
唱えま,とな
唱えよ,とな
唱えら,とな
唱える,とな
唱えろ,とな
商品券,しょうひんけん
商品名,しょうひんめい
商売人,しょうばいにん
商工業,しょうこうぎょう
商店街,しょうてんがい
商慣習,しょうかんしゅう
問題な,もんだいな
問題児,もんだいじ
問題点,もんだいてん
善くも,よくも
善後策,ぜんごさく
喚おう,わめ
喜ばさ,よろこ
喜ばし,よろこ
喜ばす,よろこ
喜ばせ,よろこ
喜ばそ,よろこ
喜んで,よろこんで
喜望峰,きぼうほう
喧しい,やかましい
喫すさ,きっ
喫すず,きっ
喫すた,きっ
喫すて,きっ
喫すな,きっ
喫すま,きっ
喫すよ,きっ
喫すら,きっ
喫する,きっ
喫すろ,きっ
喫茶店,きっさてん
営林局,えいりんきょく
営林署,えいりんしょ
営業所,えいぎょうしょ
嘆おう,なげ
嘘つき,うそつき
囁おう,ささや
四つ角,よつかど
四半期,しはんき
四天王,してんのう
四死球,ししきゅう
四畳半,よじょうはん
四角い,しかく
四輪車,よんりんしゃ
四重奏,しじゅうそう
回り道,まわりみち
回帰線,かいきせん
回数券,かいすうけん
回顧録,かいころく
因って,よ
因みに,ちなみに
図々し,ずうずう
図書室,としょしつ
図書館,としょかん
固まっ,かたま
固まら,かたま
固まり,かたま
固まる,かたま
固まれ,かたま
固まろ,かたま
固めさ,かた
固めず,かた
固めた,かた
固めて,かた
固めな,かた
固めま,かた
固めよ,かた
固めら,かた
固める,かた
固めろ,かた
固定票,こていひょう
固定費,こていひ
国分寺,こくぶんじ
国務省,こくむしょう
国土庁,こくどちょう
国慶節,こっけいせつ
国文学,こくぶんがく
国有化,こくゆうか
国民性,こくみんせい
国民的,こくみんてき
国税局,こくぜいきょく
国税庁,こくぜいちょう
国語学,こくごがく
国際人,こくさいじん
国際化,こくさいか
国際法,こくさいほう
国際的,こくさいてき
国際色,こくさいしょく
園遊会,えんゆうかい
土下座,どげざ
土俵際,どひょうぎわ
土地柄,とちがら
土壇場,どたんば
土建屋,どけんや
土曜日,どようび
土耳古,トルコ
圧倒的,あっとうてき
地の利,ちのり
地下室,ちかしつ
地下水,ちかすい
地下道,ちかどう
地下鉄,ちかてつ
地中海,ちちゅうかい
地割れ,じわれ
地合い,じあい
地吹雪,じふぶき
地平線,ちへいせん
地方版,ちほうばん
地方税,ちほうぜい
地滑り,じすべり
地球上,ちきゅうじょう
地球儀,ちきゅうぎ
地磁気,ちじき
地続き,じつづき
地質学,ちしつがく
地鎮祭,じちんさい
地震学,じしんがく
地響き,じひびき
地鳴り,じなり
坊さん,ぼう
垂らさ,たら
垂らし,たら
垂らす,たら
垂らせ,たら
垂らそ,たら
垂れさ,た
垂れず,た
垂れた,た
垂れて,た
垂れな,た
垂れま,た
垂れよ,た
垂れら,た
垂れる,た
垂れろ,た
垂れ幕,たれまく
型破り,かたやぶり
埋まっ,うま
埋まら,うま
埋まり,うま
埋まる,うま
埋まれ,うま
埋まろ,うま
埋めさ,う
埋めず,う
埋めた,う
埋めて,う
埋めな,う
埋めま,う
埋めよ,う
埋めら,う
埋める,う
埋めろ,う
城下町,じょうかまち
執拗い,しつこい
執行部,しっこうぶ
基づい,もとづ
基づえ,もとづ
基づか,もとづ
基づき,もとづ
基づく,もとづ
基づけ,もとづ
基本的,きほんてき
基準法,きじゅんほう
堪えさ,こたえ
堪えず,こたえ
堪えた,こたえ
堪えて,こたえ
堪えな,こたえ
堪えま,こたえ
堪えよ,こたえ
堪えら,こたえ
堪える,こたえ
堪えろ,こたえ
堪らな,たま
堪忍袋,かんにんぶくろ
報じさ,ほう
報じず,ほう
報じた,ほう
報じて,ほう
報じな,ほう
報じま,ほう
報じよ,ほう
報じら,ほう
報じる,ほう
報じろ,ほう
報告書,ほうこくしょ
報奨金,ほうしょうきん
報道陣,ほうどうじん
場違い,ばちがい
塞がっ,ふさが
塞がら,ふさが
塞がり,ふさが
塞がる,ふさが
塞がれ,ふさが
塞がろ,ふさが
塞爾維,セルビア
塩漬け,しおづけ
塩焼き,しおやき
塩辛い,しおからい
墓参り,はかまいり
増えさ,ふ
増えず,ふ
増えた,ふ
増えて,ふ
増えな,ふ
増えま,ふ
増えよ,ふ
増えら,ふ
増える,ふ
増えろ,ふ
増やさ,ふや
増やし,ふや
増やす,ふや
増やせ,ふや
増やそ,ふや
墨付き,すみつき
壁掛け,かべか
壁新聞,かべしんぶん
壊れる,こわれる
士篤恒,ストックホルム
売り主,うりぬし
売り場,うりば
売り子,うりこ
売り手,うりて
売り方,うりかた
売り物,うりもの
売れさ,う
売れず,う
売れた,う
売れて,う
売れな,う
売れま,う
売れよ,う
売れら,う
売れる,う
売れろ,う
売れ筋,うれすじ
売上金,うりあげきん
売上高,うりあげだか
売国奴,ばいこくど
売春婦,ばいしゅんふ
売買高,ばいばいだか
変えさ,か
変えず,か
変えた,か
変えて,か
変えな,か
変えま,か
変えよ,か
変えら,か
変える,か
変えろ,か
変じさ,へん
変じず,へん
変じた,へん
変じて,へん
変じな,へん
変じま,へん
変じよ,へん
変じら,へん
変じる,へん
変じろ,へん
変わっ,かわ
変わら,かわ
変わり,かわ
変わる,かわ
変われ,かわ
変わろ,かわ
変化球,へんかきゅう
変奏曲,へんそうきょく
変更届,へんこうとどけ
変電所,へんでんしょ
夏バテ,なつばて
夏休み,なつやすみ
夏場所,なつばしょ
夏時間,なつじかん
夏祭り,なつまつり
夕暮れ,ゆうぐれ
夕焼け,ゆうやけ
外れさ,はず
外れず,はず
外れた,はず
外れて,はず
外れな,はず
外れま,はず
外れよ,はず
外れら,はず
外れる,はず
外れろ,はず
外交員,がいこういん
外交団,がいこうだん
外交官,がいこうかん
外付け,そとづけ
外務員,がいむいん
外務省,がいむしょう
外回り,そとまわり
外国人,がいこくじん
外国語,がいこくご
外来語,がいらいご
外科医,げかい
外野手,がいやしゅ
多人数,たにんずう
多元的,たげんてき
多年草,たねんそう
多数決,たすうけつ
多方面,たほうめん
多様化,たようか
多様性,たようせい
多発性,たはつせい
多目的,たもくてき
多角的,たかくてき
夜ご飯,よるごはん
夜回り,よまわり
夜明け,よあけ
夜更け,よふけ
夜行性,やこうせい
夜討ち,ようち
夜逃げ,よにげ
夜通し,よどおし
夜遊び,よあそび
夢にも,ゆめにも
夢物語,ゆめものがたり
夢見さ,ゆめ
夢見ず,ゆめ
夢見た,ゆめ
夢見て,ゆめ
夢見な,ゆめ
夢見ま,ゆめ
夢見よ,ゆめ
夢見ら,ゆめ
夢見る,ゆめ
夢見ろ,ゆめ
夥しい,おびただ
大々的,だいだいてき
大いに,おお
大きい,おおき
大さじ,おおさ
大丈夫,だいじょうぶ
大上段,だいじょうだん
大事に,だいじ
大事件,だいじけん
大企業,だいきぎょう
大使館,たいしかん
大僧正,だいそうじょう
大入り,おおい
大前提,だいぜんてい
大動脈,だいどうみゃく
大募集,だいぼしゅう
大司教,だいしきょう
大商い,おおあきない
大喜び,おおよろこび
大回転,だいかいてん
大多数,だいたすう
大太鼓,おおだいこ
大好き,だいすき
大好評,だいこうひょう
大嫌い,だいきら
大学生,だいがくせい
大学院,だいがくいん
大宇宙,だいうちゅう
大家族,だいかぞく
大広間,おおひろま
大引け,おおび
大往生,だいおうじょう
大御所,おおごしょ
大急ぎ,おおいそぎ
大成功,だいせいこう
大所帯,おおじょたい
大振り,おおぶ
大掃除,おおそうじ
大文字,おおもじ
大時代,おおじだい
大晦日,おおみそか
大本営,だいほんえい
大本山,だいほんざん
大歓迎,だいかんげい
大洋州,たいようしゅう
大理石,だいりせき
大盛り,おおも
大相撲,おおずもう
大笑い,おおわら
大統領,だいとうりょう
大腸菌,だいちょうきん
大自然,だいしぜん
大荒れ,おおあれ
大蔵省,おおくらしょう
大衆化,たいしゅうか
大衆性,たいしゅうせい
大西洋,たいせいよう
大規模,だいきぼ
大詰め,おおづめ
大車輪,だいしゃりん
大通り,おおどおり
大道具,おおどうぐ
大部分,だいぶぶん
大部屋,おおべや
大都市,だいとし
大陸棚,たいりくだな
大集合,だいしゅうごう
大雑把,おおざっぱ
大震災,だいしんさい
大騒ぎ,おおさわぎ
大黒柱,だいこくばしら
天の川,あまのがわ
天ぷら,てんぷら
天下り,あまくだり
天動説,てんどうせつ
天台宗,てんだいしゅう
天守閣,てんしゅかく
天引き,てんびき
天文台,てんもんだい
天文学,てんもんがく
天気図,てんきず
天満宮,てんまんぐう
天然痘,てんねんとう
天王山,てんのうざん
天王星,てんのうせい
天理教,てんりきょう
天皇制,てんのうせい
太っ腹,ふとっぱら
太もも,ふともも
太り肉,ふとりじし
太公望,たいこうぼう
太平洋,たいへいよう
太陽系,たいようけい
太鼓判,たいこばん
失敗談,しっぱいだん
失語症,しつごしょう
奏すさ,そう
奏すず,そう
奏すた,そう
奏すて,そう
奏すな,そう
奏すま,そう
奏すよ,そう
奏すら,そう
奏する,そう
奏すろ,そう
奏でさ,かな
奏でず,かな
奏でた,かな
奏でて,かな
奏でな,かな
奏でま,かな
奏でよ,かな
奏でら,かな
奏でる,かな
奏でろ,かな
契約書,けいやくしょ
奥さん,おくさん
奥の手,おくのて
奥まっ,おくま
奥まら,おくま
奥まり,おくま
奥まる,おくま
奥まれ,おくま
奥まろ,おくま
奥深い,おくふか
奥行き,おくゆき
奨学金,しょうがくきん
奪三振,だつさんしん
奮って,ふる
女の人,おんなのひと
女の子,おんなのこ
女子大,じょしだい
女子高,じょしこう
女学校,じょがっこう
女学生,じょがくせい
女性的,じょせいてき
女房役,にょうぼうやく
好まし,この
好んで,このんで
好奇心,こうきしん
好感度,こうかんど
好成績,こうせいせき
好敵手,こうてきしゅ
好景気,こうけいき
好都合,こうつごう
如何か,どう
如何に,いか
妃殿下,ひでんか
妊産婦,にんさんぷ
妨げさ,さまた
妨げず,さまた
妨げた,さまた
妨げて,さまた
妨げな,さまた
妨げま,さまた
妨げよ,さまた
妨げら,さまた
妨げる,さまた
妨げろ,さまた
姉さん,ねえ
始まっ,はじま
始まら,はじま
始まり,はじま
始まる,はじま
始まれ,はじま
始まろ,はじま
始めさ,はじ
始めず,はじ
始めた,はじ
始めて,はじ
始めな,はじ
始めま,はじ
始めよ,はじ
始めら,はじ
始める,はじ
始めろ,はじ
始末書,しまつしょ
始球式,しきゅうしき
委ねさ,ゆだ
委ねず,ゆだ
委ねた,ゆだ
委ねて,ゆだ
委ねな,ゆだ
委ねま,ゆだ
委ねよ,ゆだ
委ねら,ゆだ
委ねる,ゆだ
委ねろ,ゆだ
委任状,いにんじょう
委員会,いいんかい
委員長,いいんちょう
威張っ,いば
威張ら,いば
威張り,いば
威張る,いば
威張れ,いば
威張ろ,いば
婆さん,ばあさん
婚約者,こんやくしゃ
婦人科,ふじんか
婦女子,ふじょし
嫁ぎ先,とつぎさき
嫁入り,よめいり
嫌がっ,いや
嫌がら,いや
嫌がり,いや
嫌がる,いや
嫌がれ,いや
嫌がろ,いや
嫌悪感,けんおかん
嬉しい,うれ
嬢さん,じょう
子会社,こがいしゃ
子供心,こどもごころ
子供用,こどもよう
子午線,しごせん
子守唄,こもりうた
子持ち,こも
子育て,こそだて
子飼い,こが
字詰め,じづめ
存じさ,ぞん
存じず,ぞん
存じた,ぞん
存じて,ぞん
存じな,ぞん
存じま,ぞん
存じよ,ぞん
存じら,ぞん
存じる,ぞん
存じろ,ぞん
季節風,きせつふう
孤児院,こじいん
学会誌,がっかいし
学問的,がくもんてき
学士院,がくしいん
学校名,がっこうめい
学用品,がくようひん
学芸会,がくげいかい
宅配便,たくはいびん
宇柳貝,ウルグアイ
守り神,まもりがみ
守護神,しゅごじん
安っぽ,やす
安らい,やすら
安らえ,やすら
安らお,やすら
安らか,やすらか
安らが,やすら
安らぎ,やすら
安らぐ,やすら
安らげ,やすら
安全弁,あんぜんべん
安売り,やすうり
安心感,あんしんかん
安息日,あんそくび
安楽死,あんらくし
宗主国,そうしゅこく
宗教家,しゅうきょうか
官公庁,かんこうちょう
宙乗り,ちゅうのり
宙吊り,ちゅうづ
宙返り,ちゅうがえり
定まっ,さだま
定まら,さだま
定まり,さだま
定まる,さだま
定まれ,さだま
定まろ,さだま
定める,さだめる
定休日,ていきゅうび
定時制,ていじせい
定期便,ていきびん
定期券,ていきけん
定期的,ていきてき
定期船,ていきせん
定置網,ていちあみ
定足数,ていそくすう
宜しい,よろしい
宜しく,よろしく
宝くじ,たからくじ
実入り,みいり
実業家,じつぎょうか
実物大,じつぶつだい
実生活,じっせいかつ
実用的,じつようてき
実社会,じっしゃかい
実証的,じっしょうてき
実質的,じっしつてき
実際は,じっさいは
実際的,じっさいてき
実験室,じっけんしつ
客引き,きゃくひき
客観性,きゃっかんせい
客観的,きゃっかんてき
宣教師,せんきょうし
室内楽,しつないがく
宥めさ,なだ
宥めず,なだ
宥めた,なだ
宥めて,なだ
宥めな,なだ
宥めま,なだ
宥めよ,なだ
宥めら,なだ
宥める,なだ
宥めろ,なだ
宮内庁,くないちょう
害すさ,がい
害すず,がい
害すた,がい
害すて,がい
害すな,がい
害すま,がい
害すよ,がい
害すら,がい
害する,がい
害すろ,がい
家並み,いえなみ
家庭内,かていない
家庭医,かていい
家庭科,かていか
家政婦,かせいふ
家政学,かせいがく
家計簿,かけいぼ
容易い,たやす
容疑者,ようぎしゃ
寂しい,さび
寄せさ,よ
寄せず,よ
寄せた,よ
寄せて,よ
寄せな,よ
寄せま,よ
寄せよ,よ
寄せら,よ
寄せる,よ
寄せろ,よ
寄り道,よりみち
寄宿舎,きしゅくしゃ
寄生虫,きせいちゅう
寄越さ,よこ
寄越し,よこ
寄越す,よこ
寄越せ,よこ
寄越そ,よこ
密入国,みつにゅうこく
密輸入,みつゆにゅう
密輸出,みつゆしゅつ
富士山,ふじさん
寒暖計,かんだんけい
寝かさ,ねか
寝かし,ねか
寝かす,ねか
寝かせ,ねか
寝かそ,ねか
寝不足,ねぶそく
寝付い,ねつ
寝付え,ねつ
寝付か,ねつ
寝付き,ねつ
寝付く,ねつ
寝付け,ねつ
寝入り,ねいり
寝冷え,ねびえ
寝巻き,ねまき
寝苦し,ねぐる
寝起き,ねおき
寝転ば,ねころ
寝転び,ねころ
寝転ぶ,ねころ
寝転べ,ねころ
寝転ぼ,ねころ
寝転ん,ねころ
寝込な,ねこ
寝込ま,ねこ
寝込み,ねこ
寝込む,ねこ
寝込め,ねこ
寝込ん,ねこ
寝返っ,ねがえ
寝返ら,ねがえ
寝返り,ねがえり
寝返る,ねがえ
寝返れ,ねがえ
寝返ろ,ねがえ
察すさ,さっ
察すず,さっ
察すた,さっ
察すて,さっ
察すな,さっ
察すま,さっ
察すよ,さっ
察すら,さっ
察する,さっ
察すろ,さっ
寺子屋,てらこや
対して,たい
対照的,たいしょうてき
封じさ,ふう
封じず,ふう
封じた,ふう
封じて,ふう
封じな,ふう
封じま,ふう
封じよ,ふう
封じら,ふう
封じる,ふう
封じろ,ふう
封じ手,ふうじて
封切り,ふうきり
封建的,ほうけんてき
専従者,せんじゅうしゃ
専門医,せんもんい
専門家,せんもんか
専門店,せんもんてん
専門的,せんもんてき
射幸心,しゃこうしん
将来像,しょうらいぞう
将来性,しょうらいせい
将来的,しょうらいてき
将軍家,しょうぐんけ
尋ねさ,たず
尋ねず,たず
尋ねた,たず
尋ねて,たず
尋ねな,たず
尋ねま,たず
尋ねよ,たず
尋ねら,たず
尋ねる,たず
尋ねろ,たず
尋ね人,たずねびと
導おう,みちび
導入部,どうにゅうぶ
導火線,どうかせん
小さじ,こ
小人数,こにんずう
小休止,しょうきゅうし
小児病,しょうにびょう
小児科,しょうにか
小冊子,しょうさっし
小出し,こだし
小分け,こわけ
小切手,こぎって
小刻み,こきざみ
小回り,こまわ
小女子,こうなご
小学校,しょうがっこう
小学生,しょうがくせい
小宇宙,しょううちゅう
小市民,しょうしみん
小惑星,しょうわくせい
小手先,こてさき
小数点,しょうすうてん
小文字,こもじ
小気味,こきみ
小為替,こがわせ
小細工,こざいく
小規模,しょうきぼ
小説家,しょうせつか
小躍り,こおどり
小道具,こどうぐ
小遣い,こづかい
小高い,こだか
小麦粉,こむぎこ
少しも,すこしも
少ない,すくない
少年団,しょうねんだん
少年院,しょうねんいん
尚且つ,なおかつ
就いて,ついて
就おう,つ
尽きさ,つ
尽きず,つ
尽きた,つ
尽きて,つ
尽きな,つ
尽きま,つ
尽きよ,つ
尽きら,つ
尽きる,つ
尽きろ,つ
尽くさ,つく
尽くし,つく
尽くす,つく
尽くせ,つく
尽くそ,つく
局留め,きょくどめ
居並ば,いなら
居並び,いなら
居並ぶ,いなら
居並べ,いなら
居並ぼ,いなら
居並ん,いなら
居住者,きょじゅうしゃ
居場所,いばしょ
居座っ,いすわ
居座ら,いすわ
居座り,いすわ
居座る,いすわ
居座れ,いすわ
居座ろ,いすわ
居心地,いごこち
居残っ,いのこ
居残ら,いのこ
居残り,いのこ
居残る,いのこ
居残れ,いのこ
居残ろ,いのこ
居留民,きょりゅうみん
居直っ,いなお
居直ら,いなお
居直り,いなお
居直る,いなお
居直れ,いなお
居直ろ,いなお
居眠り,いねむ
居酒屋,いざかや
屈すさ,くっ
屈すず,くっ
屈すた,くっ
屈すて,くっ
屈すな,くっ
屈すま,くっ
屈すよ,くっ
屈すら,くっ
屈する,くっ
屈すろ,くっ
届おう,とど
届けさ,とど
届けず,とど
届けた,とど
届けて,とど
届けな,とど
届けま,とど
届けよ,とど
届けら,とど
届ける,とど
届けろ,とど
届け出,とどけで
屋台骨,やたいぼね
屋形船,やかたぶね
屋根裏,やねうら
展示会,てんじかい
展覧会,てんらんかい
属すさ,ぞく
属すず,ぞく
属すた,ぞく
属すて,ぞく
属すな,ぞく
属すま,ぞく
属すよ,ぞく
属すら,ぞく
属する,ぞく
属すろ,ぞく
履おう,は
履歴書,りれきしょ
山の手,やまのて
山並み,やまなみ
山分け,やまわけ
山小屋,やまごや
山崩れ,やまくずれ
山火事,やまかじ
山登り,やまのぼり
山盛り,やまもり
山積み,やまづみ
山開き,やまびらき
崩れさ,くず
崩れず,くず
崩れた,くず
崩れて,くず
崩れな,くず
崩れま,くず
崩れよ,くず
崩れら,くず
崩れる,くず
崩れろ,くず
嵌まっ,はま
嵌まら,はま
嵌まり,はま
嵌まる,はま
嵌まれ,はま
嵌まろ,はま
嵌めさ,は
嵌めず,は
嵌めた,は
嵌めて,は
嵌めな,は
嵌めま,は
嵌めよ,は
嵌めら,は
嵌める,は
嵌めろ,は
川沿い,かわぞ
川流れ,かわなが
州政府,しゅうせいふ
巡らさ,めぐら
巡らし,めぐら
巡らす,めぐら
巡らせ,めぐら
巡らそ,めぐら
巡洋艦,じゅんようかん
巣立げ,すだ
巣立た,すだ
巣立ち,すだ
巣立っ,すだ
巣立つ,すだ
巣立て,すだ
巣立と,すだ
巣食い,すく
巣食う,すく
巣食え,すく
巣食お,すく
巣食っ,すく
巣食わ,すく
工事中,こうじちゅう
工作員,こうさくいん
工学部,こうがくぶ
左利き,ひだりきき
左四つ,ひだりよつ
巨視的,きょしてき
差し手,さして
差出人,さしだしにん
巴奈馬,パナマ
巴格達,バグダッド
巻おう,ま
巻き物,まきもの
巻き貝,まきがい
市役所,しやくしょ
市民権,しみんけん
市町村,しちょうそん
市街地,しがいち
市議会,しぎかい
希望的,きぼうてき
帯びさ,お
帯びず,お
帯びた,お
帯びて,お
帯びな,お
帯びま,お
帯びよ,お
帯びら,お
帯びる,お
帯びろ,お
帰り道,かえりみち
帳消し,ちょうけ
常緑樹,じょうりょくじゅ
常識的,じょうしきてき
幅広い,はばひろい
幕の内,まくのうち
幕切れ,まくぎれ
幕開け,まくあけ
平たい,ひらたい
平仮名,ひらがな
平均点,へいきんてん
平泳ぎ,ひらおよぎ
平行棒,へいこうぼう
平行線,へいこうせん
平謝り,ひらあやまり
平面図,へいめんず
年の瀬,としのせ
年寄っ,としよ
年寄ら,としよ
年寄り,としよ
年寄る,としよ
年寄れ,としよ
年寄ろ,としよ
年明け,としあけ
年月日,ねんがっぴ
年賀状,ねんがじょう
年越し,としこし
年齢層,ねんれいそう
幻想曲,げんそうきょく
幼友達,おさなともだち
幼少期,ようしょうき
幼稚園,ようちえん
幾つか,いくつか
幾何学,きかがく
広がっ,ひろが
広がら,ひろが
広がり,ひろが
広がる,ひろが
広がれ,ひろが
広がろ,ひろが
広げさ,ひろ
広げず,ひろ
広げた,ひろ
広げて,ひろ
広げな,ひろ
広げま,ひろ
広げよ,ひろ
広げら,ひろ
広げる,ひろ
広げろ,ひろ
広まっ,ひろま
広まら,ひろま
広まり,ひろま
広まる,ひろま
広まれ,ひろま
広まろ,ひろま
広めさ,ひろ
広めず,ひろ
広めた,ひろ
広めて,ひろ
広めな,ひろ
広めま,ひろ
広めよ,ひろ
広めら,ひろ
広める,ひろ
広めろ,ひろ
